2028,2028,b778996,a5363,Samurai,Juno Reactor,1995,Samurai,Juno Reactor,1996,1
6920,6920,b704784,a16881,Faithful,Go West,1992,Faithful,Go West,1992,1
9876,9876,b354304,a22744,What Light,Wilco,2007,What Light,Wilco,2007,1
7556,7556,b103003,a18166,Home,Mulberry Lane,0,Home,Michael BublÌ©,‰ÛÓ,0
2903,2903,b265665,a7509,Catch,Sunscreem,1997,Catch,Sunscreem,1997,1
5667,5667,b262543,a14482,Bodies,Robbie Williams,2009,Bodies,Robbie Williams,2009,1
2887,2887,b63257,a7477,Positive Education,Slam,1993,Positive Education,Slam,1993,1
5416,5416,b497433,a14169,Hold On,Special EFX,1999,Hold On,Sarah McLachlan,1994,0
12235,12235,b606067,a28562,Once Upon A Time,Tim Buckley,2009,Once Upon a Time,The Pogues,‰ÛÓ,0
1916,1916,b744687,a5005,Lullaby,The Dreadful Yawns,2005,Lullaby,The Cure,1989,0
8795,8795,b622878,a20537,Ring Road,Underworld,2007,Ring Road,Underworld,2008,1
5979,5979,b484739,a14771,Sober,Piano Red,0,Sober,P!nk,2008,0
13080,13080,b256118,a31844,Anthem - 2002 FIFA World Cup? Official Anthem,Vangelis,0,Anthem: 2002 FIFA World Cup‰ã¢ Official Anthem,Vangelis,2002,1
1399,1399,b425758,a3821,Stripper Friends,Tila Tequila,0,Stripper Friends,Tila Tequila,2007,1
3593,3593,b759501,a9018,Smile,Dug Pinnick,0,Smile,David Gilmour,2006,0
9185,9185,b540952,a21162,Paradise,Tulku,0,Paradise,TiÌÇsto-Dyro,2013,0
7981,7981,b251430,a18989,You,Silicone Pumpgun,0,You,S Club 7,2002,0
5160,5160,b113942,a13793,Thank You Baby! (For Makin' Someday Come So Soon),Shania Twain,2002,Thank You Baby! (For Makin‰Ûª Someday Come So Soon),Shania Twain,2003,1
11727,11727,b261212,a27507,Duppy,Skepta & MC Creed,2006,Duppy,Skepta,2006,1
7465,7465,b323136,a17982,Without You,Melissa Manchester,0,Without You,Mariah Carey,1994,0
549,549,b625788,a1624,Sense,The Laughing Colors,0,Sense,The Lightning Seeds,1992,0
10677,10677,b269935,a25146,Paranoid,Kenny Larkin,2008,Paranoid,Kanye West-Mr Hudson,‰ÛÓ,0
4694,4694,b379054,a12293,Pursuit Of Happiness,Kid Cudi / MGMT / Ratatat,0,Pursuit of Happiness,Kid Cudi-MGMT-Ratatat,2010,1
10744,10744,b25558,a25418,Silent Night,Sue Keller,2002,Silent Night,SinÌ©ad O‰ÛªConnor,1991,0
5325,5325,b288407,a14086,Home,Sticks & Stones,2003,Home,Sheryl Crow,‰ÛÓ,0
6410,6410,b550385,a15694,Summertime,Count Basie,0,Summertime,Cody Simpson,2010,0
3776,3776,b632745,a9504,Deeply Dippy,Right Said Fred,1992,Deeply Dippy,Right Said Fred,1992,1
5117,5117,b688333,a13650,Everyday Is A Winding Road,Sheryl Crow,1996,Everyday Is A Winding Road,Sheryl Crow,1996,1
6508,6508,b404847,a15928,Coming Home,Dominoe,1990,Coming Home,Dharma Protocol-Boy George,2013,0
10114,10114,b156201,a23423,I Turned Out A Punk,Big Audio Dynamite,1995,I Turned Out a Punk,Big Audio Dynamite,1995,1
10993,10993,b36387,a25893,Analyse,The Cranberries,2001,Analyse,The Cranberries,2001,1
2103,2103,b187847,a5523,Stay,Julia Fordham,1997,Stay,Julio D,2015,0
6354,6354,b600735,a15575,Missing You,Dean Miller,0,Missing You,Dan Fogelberg,1982,0
11322,11322,b744687,a26525,Lullaby,The Dreadful Yawns,2005,Lullaby,The Cure,1989,0
6324,6324,b283022,a15559,Success,Dan Hicks & His Hot Licks,1973,Success,Dannii Minogue,1991,0
10842,10842,b141703,a25587,Wake Up,Tsunami Wazahari,0,Wake Up,The Danse Society,1985,0
8747,8747,b644882,a20448,Alright,Baboon,0,Alright,Blockhead,2006,0
819,819,b317325,a2274,Seven Nation Army,The White Stripes,2003,Seven Nation Army,The White Stripes,2003,1
8313,8313,b47608,a19517,Beautiful,Mothers Little Helpers,2007,#Beautiful,Mariah Carey-Miguel,2013,0
11524,11524,b535528,a26997,Wylin Out,Mos Def & Diverse,2002,Wylin Out,Mos Def-Diverse-Prefuse 73,2002,1
2579,2579,b620708,a7026,Endless Summer,Scooter,0,Endless Summer,Scooter,1995,1
8711,8711,b560869,a20396,Sky,The Dead C,1990,Sky,The Human League,2011,0
2669,2669,b166163,a7241,Cry,System F,2000,Cry,System F,2000,1
305,305,b508078,a814,Burning Down The House,Tiga,0,Burning Down the House,Tom Jones-The Cardigans,1999,0
4024,4024,b120866,a10307,Dreams,The Streets,0,Dreams,The Cranberries,1992,0
10766,10766,b757366,a25480,Bones,The Forms,2007,Bones,The Killers,2006,0
10584,10584,b23967,a24681,Ghosts,Lester Bowie_ Ari Brown_ Art Matthews_ Fred Williams_ Phillip Wilson_ Fontella Bass_ David Peaston,0,Ghosts,Laura Marling,2008,0
2472,2472,b226305,a6635,Breathe,Kenny Larkin,2004,Breathe,Kylie Minogue,1998,0
3900,3900,b590974,a9909,Thnks fr th Mmrs,Fall Out Boy,2007,Thnks fr th Mmrs,Fall Out Boy,2007,1
1427,1427,b554835,a3856,Dizzy,The Wonder Stuff,1991,Dizzy,Tommy Roe,1969,0
