,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year
4004,4004,b82921,a10275,Open Your Eyes,Guano Apes,1997,Open Your Eyes,Guano Apes,1997
10266,10266,b788729,a23834,Life Is Good,Emilio,0,Life Is Good,Ephemerals,2015
4005,4005,b546765,a10275,Open Your Eyes,Gob,1996,Open Your Eyes,Guano Apes,1997
12106,12106,b27080,a28245,Home,Stephanie Mills,0,Home,Sheryl Crow,—
11942,11942,b325321,a27919,Let's Get Blown,Snoop Dogg,2004,Let's Get Blown,Snoop Dogg,2005
9127,9127,b245740,a21093,My Moon My Man,Feist,0,My Moon My Man,Feist,2007
7936,7936,b490601,a18930,Looking For Clues,Robert Palmer,1980,Looking for Clues,Robert Palmer,1980
8928,8928,b803512,a20782,Feel It,Three 6 Mafia vs. Ti\xc3\xabsto with Sean Kingston and Flo Rida,0,Feel It,Three 6 Mafia-Tiësto-Sean Kingston-Flo Rida,2009
3074,3074,b167893,a7808,Freak,Strangelove,1997,Freak,Steve Aoki-Diplo-Deorro,2014
6667,6667,b74600,a16324,This Fire,Franz Ferdinand,2004,This Fire,Franz Ferdinand,2004
7038,7038,b381162,a17117,Please Don't Stop The Rain,James Morrison,0,Please Don't Stop the Rain,James Morrison,—
5292,5292,b793083,a13996,Possession,Sisters Of Mercy,1985,Possession,Sarah McLachlan,1993
1513,1513,b436492,a4013,I Don't Want To,Toni Braxton,1996,I Don't Want To,Toni Braxton,1996
3266,3266,b101862,a8137,Cornflake Girl,Tori Amos,1994,Cornflake Girl,Tori Amos,1994
4179,4179,b341105,a10648,Rain,Epsilon Minus,2003,Rain,Erasure,1997
951,951,b43028,a2974,Crazy Train,Ozzy Osbourne,1980,Crazy Train,Ozzy Osbourne,1980
9388,9388,b25339,a21554,Talent Is An Asset,Sparks,1974,Talent Is an Asset,Sparks,1974
12946,12946,b306676,a31595,Serenade,Mario Lanza;Ray Sinatra,2003,Serenade,Max Rosen,—
854,854,b752864,a2336,Cross Your Fingers,Laura Marling,2008,Cross Your Fingers,Laura Marling,2008
11350,11350,b503842,a26594,Blue Skies,Blue October,2009,Blue Skies,BT-Tori Amos,1996
7563,7563,b542583,a18166,Home,Midnight Oil,1996,Home,Michael Bublé,—
12541,12541,b495752,a29441,Keep The Circle Around,Inspiral Carpets,1999,Keep The Circle Around,Inspiral Carpets,1988
4306,4306,b503801,a11022,You Can't Hurry Love,The Supremes,1966,You Can't Hurry Love,The Supremes,1966
904,904,b677768,a2659,The Climb,Miley Cyrus,2009,The Climb,Miley Cyrus,2009
11773,11773,b735131,a27611,Jazzy Belle,OutKast,1996,Jazzy Belle,OutKast,1997
11165,11165,b808142,a26243,Ain't That Good Enough,Tyrone Davis,0,Ain't That Enough,Teenage Fanclub,1997
5204,5204,b144834,a13884,Memories,Memphis Sheiks,0,Memories,Material-Whitney Houston-Archie Shepp,1987
10046,10046,b21597,a23237,Underground,Blue Rodeo,1987,Underground,Ben Folds Five,1996
2386,2386,b255287,a6293,Only You,KJ-52,0,Only You,Kaskade-Tiësto,2011
1655,1655,b727171,a4463,Bop Bop Baby,Westlife,2001,Bop Bop Baby,Westlife,2002
11145,11145,b635442,a26232,Every Breath You Take,The Police,1983,Every Breath You Take,The Police,1983
6180,6180,b111169,a15158,Breathe,Kite Flying Society,2006,Breathe,Kylie Minogue,1998
5953,5953,b785529,a14750,Golden,Turquoise,0,Golden,Travie McCoy-Sia,2015
9344,9344,b410040,a21445,Secrets,The Numbers,0,Secrets,Tiësto-KSHMR-Vassy,2015
5575,5575,b763257,a14365,Miss Independent,Kelly Clarkson,2003,Miss Independent,Kelly Clarkson,2003
5527,5527,b336841,a14311,Stop Me,Mr. Lucci,0,Stop Me,Mark Ronson-Daniel Merriweather,2007
2772,2772,b416832,a7328,Higher,The Game,0,Higher,Taio Cruz-Kylie Minogue,2010
10508,10508,b759582,a24446,To Hell With Poverty,Gang Of Four,1981,To Hell With Poverty,Gang of Four,1981
11534,11534,b522859,a27020,Freak,Sandy Rivera & Haze,2008,Freak,Steve Aoki-Diplo-Deorro,2014
10586,10586,b627754,a24681,Ghosts,Lewis Taylor,2005,Ghosts,Laura Marling,2008
7182,7182,b357675,a17380,Please Don't Go,KWS,1992,Please Don't Go,KC and The Sunshine Band,1979
9836,9836,b682605,a22687,Stay,The Temptations,1998,Stay,Thirty Seconds to Mars,2014
6986,6986,b34608,a16973,You're Nobody 'Til Somebody Loves You,James Darren,1999,You're Nobody 'til Somebody Loves You,James Arthur,2013
6046,6046,b439334,a14846,One More Night,Matthew Kramer,0,One More Night,Maroon 5,2012
6979,6979,b123005,a16960,Broken Strings,James Morrison Featuring Nelly Furtado,0,Broken Strings,James Morrison-Nelly Furtado,2008
10321,10321,b68645,a23934,Breakaway,Tracey Ullman,1983,Breakaway,Tinchy Stryder,2007
7647,7647,b195249,a18334,Strange,Reba McEntire,2009,Strange,Reba McEntire,2009
6377,6377,b675907,a15629,Wow,Kohfie Konnect,0,Wow,Kylie Minogue,2008
7211,7211,b28160,a17456,Stay,Julie Feeney,2009,Stay,Julio D,2015
9931,9931,b100042,a22912,Yesterday,Ace Cannon,0,Yesterday,Adam Levine-Tony Lucca,2012
