SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b'Twisted Memories - Poems In C-Minor'","b'Daniel Portman'",0.0,409.0771,10,128.001,4,"b'Dunguness'",0
2,"b'The Very Best of Eddy Grant - Road To Reparation'","b'Eddy Grant'",0.0,231.41832,5,207.243,7,"b'Neighbour Neighbour'",1996
3,"b'A Brenda Lee Christmas'","b'Brenda Lee'",0.0,178.72934,2,103.718,4,"b'O Come All Ye Faithful (Album Version)'",0
4,"b'The Big Picture'","b'Big L / Sadat X / Guru'",0.0,274.12853,11,87.955,4,"b'Games'",2000
5,"b'GU Mixed'","b'Spirit Catcher'",0.0,251.55873,11,125.945,3,"b'Harmonize'",2007
6,"b'XO'","b'Elliott Smith'",0.0,265.09016,2,116.13,4,"b'Everybody Cares_ Everybody Understands'",0
7,"b'Listen'","b'Chuck Loeb'",0.0,319.242,1,169.978,4,"b'Silver Star'",2003
8,"b'Love_ Sex_ and Situation'","b'Deviants of Reality'",0.0,173.29587,7,72.031,1,"b'Love_Sex_and Situation'",0
9,"b'Talk To Me'","b'Sam Riney'",0.0,336.16934,2,101.082,4,"b'Talk To Me'",0
10,"b'Samba M\xc3\xa9gamix'","b'Two Man Sound'",0.0,166.05995,11,128.647,4,"b'Que cara mal hecha'",0
11,"b'Freakery'","b'Cretin'",0.0,56.34567,9,191.956,4,"b'Uni-Tit'",2006
12,"b'When I Grow Up'","b'Cosima'",0.0,159.05914,7,139.874,4,"b"'M' Is For Melody"",0
13,"b'Les Chevaliers du Ciel'","b'Corner Chris'",0.0,188.73424,2,150.023,4,"b'We Rise'",2005
14,"b'Just Like You'","b'Keyshia Cole / Diddy'",0.0,255.81669,11,120.988,4,"b'Last Night'",2007
15,"b'Acoustic Machine'","b'The Vandermark 5'",0.0,98.63791,2,143.229,1,"b'Outside Ticket (For John Gilmore)'",0
16,"b'Advent Parallax'","b'Averse Sefira'",0.0,449.41016,9,144.741,4,"b'Viral Kinesis'",2008
17,"b'Masters Of Rock'","b'Michael Schenker'",0.0,310.20363,7,115.754,4,"b'Cry For The Nations (2000 Digital Remaster)'",0
18,"b'The Blues Sessions: 1990-1994'","b'Otis Grand'",0.0,219.21914,0,103.113,4,"b'Insomnia'",0
19,"b'Allman Bros Band/ Eric Clapton/ Joe Cocker'","b'Derek & The Dominos'",0.0,634.20036,0,129.638,1,"b'Blues Power'",1973
20,"b'Danca Ma Mi (Dance With Me)'","b'Maria de Barros'",0.0,203.36281,11,156.018,4,"b'Nos Tradicon'",0
21,"b'Gr\xc3\xa5 V\xc3\xa4rld / Svarta Tankar'","b'Skitsystem'",0.0,76.7473,6,88.269,1,"b'S\xc3\xb6mnl\xc3\xb6s Sk\xc3\xa4rseld'",1999
22,"b'Fornika f\xc3\xbcr alle'","b'Die Fantastischen Vier'",0.0,282.51383,11,175.963,4,"b'Pipis und Popos'",2004
23,"b'Best House & Oldschool Remixes'","b'Klubbheads'",0.0,467.22567,11,135.084,4,"b"Kickin' Hard"",1998
