SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b'Sugar Foot Stomp'","b'Coleman Hawkins'",0.0,293.53751,6,79.277,5,"b'Body And Soul'",1939
2,"b'Searching for The Heartland'","b'Michael Alan'",0.0,220.47302,9,126.597,4,"b'Falling From Paradise'",0
3,"b'Beats As Politics'","b'Ghislain Poirier'",0.0,197.01506,1,102.008,4,"b'Carquois'",2003
4,"b'Chiff-Chaffs & Willow Warblers'","b'Minotaur Shock'",0.0,324.20526,0,95.03,5,"b'The Range'",2001
5,"b'Esperanto'","b'Lumen'",0.0,541.20444,1,63.497,4,"b'Never Forget'",0
6,"b'E O Mai'","b'Kealii Reichel'",0.0,131.99628,0,126.264,1,"b'Ka `Opihi O Kanapou (Album Version)'",0
7,"b'Le Berger po\xc3\xa8te: Suites & Sonates pour fl\xc3\xbbte & musette'","b'Les Musiciens de Saint-Julien'",0.0,152.0322,10,88.147,3,"b'Sonate en trio pour musette_ vielle \xc3\xa0 roue & basse continue en Do Majeur: III. L\xc3\xa9g\xc3\xa8rement'",0
8,"b'Introducing The Trio'","b'Kenny Werner'",0.0,611.39546,9,116.449,4,"b'Nardis'",0
9,"b"Apple O'"","b'Deerhoof'",0.0,110.91546,5,103.903,1,"b'Flower'",1999
10,"b'Schubert: String Quartets No. 12 \x18Quartettsatz\x19 & No. 13 \x18Rosamunde\x19'","b'Borodin Quartet'",0.0,457.89995,0,153.835,4,"b"String Quartet No. 13 in A minor D804_ Rosamunde': II.      Andante"",0
11,"b'Ode to Duke Ellington'","b'Piero Umiliani'",0.0,204.69506,9,75.976,4,"b'Prelude to a Kiss'",0
12,"b'Bonafide'","b'Bonafide'",0.0,291.36934,9,154.551,4,"b'Loud band'",0
13,"b'Queen Of The Grand Ole Opry'","b'Minnie Pearl'",0.0,337.29261,8,99.233,5,"b'I Went To A Wedding'",0
14,"b'The Big Room'","b'M2M'",0.0,184.58077,11,100.986,4,"b'What You Do About Me (album version)'",2002
15,"b'Experiments In Expectation'","b'Kill Sadie'",0.0,211.87873,2,73.888,4,"b"The Surgeon's Muse"",0
16,"b'Retold'","b'Nest'",0.0,286.40608,0,58.139,4,"b'Wheatstone'",0
17,"b'Stars and Hank Forever'","b'The Residents'",0.0,209.21424,2,66.029,1,"b'The Thunderer'",1985
18,"b'Second Season'","b'Halfway to Gone'",0.0,236.40771,11,119.001,4,"b'Thee Song (A Slight Return)'",0
19,"b'The Second EP'","b'Kid Harpoon'",0.0,251.42812,9,104.303,1,"b'Riverside'",2006
20,"b'Walking Miracle'","b'Vanessa Bell Armstrong'",0.0,239.01995,10,110.058,4,"b'I Just Love You'",0
21,"b'Messages'","b'Hank Mobley'",0.0,416.41751,7,150.088,4,"b'Crazeology'",1976
22,"b'200 Pfund'","b'John Lagora'",0.0,489.32526,6,123.945,4,"b'200 Pfund'",0
23,"b'Unterwegs - live'","b'Yvonne Catterfeld'",0.0,247.92771,6,160.042,4,"b'Dreh deine Welt ins Licht'",2005
24,"b'Smoothe Urban Jazz'","b'Streetwize'",0.0,239.98649,5,190.027,3,"b"It Wasn't Me"",0
25,"b'The Voyagers'","b'Andrea Centazzo'",0.0,358.32118,7,73.431,3,"b'Troms Fjord'",0
26,"b'Les Wriggles en TourNez (Live)'","b'Les Wriggles'",0.0,242.96444,2,80.675,4,"b'Rien ne vient'",0
27,"b'It Rough'","b'Headman'",0.0,260.51873,2,130.017,4,"b'Touch Me'",2001
28,"b'Zeitpunkt'","b'Monoide'",0.0,175.0722,7,91.334,3,"b'Join the paradise'",0
29,"b'Cheap Women_ Cheap Booze_ Cheaper Thrills'","b'Frantic Flattops'",0.0,113.6322,4,95.484,4,"b'Boy Next Door'",0
30,"b'Different Directions'","b'John Denver'",0.0,246.83057,7,188.757,3,"b'Tenderly Calling'",1991
31,"b'Country Style U.S.A. with Autry Inman_ Marty Robbins_ Porter Wagoner_ Jim Reeves'","b'Floyd Cramer'",0.0,98.48118,7,85.87,4,"b'Slap Happy'",0
32,"b'Shouka'","b'Mariem Hassan'",0.0,286.24934,8,102.999,4,"b'Azzagafa'",0
33,"b'Christmas Wish'","b'Stacie Orrico'",0.0,302.75873,5,159.937,3,"b'Holy Night_ O (Christmas Wish Album Version)'",2001
34,"b'Yes We Bang!'","b'Franky B.'",0.0,215.61424,11,142.946,1,"b'A Horse With No Name'",0
35,"b'Talk to Me'","b'Barbara Carr'",0.0,264.98567,6,158.894,4,"b'Talk to Me'",0
36,"b'Vonda Shepard'","b'Vonda Shepard'",0.0,297.58649,6,89.13,3,"b'Hold Out (LP Version)'",1989
37,"b'HABITACION DOBLE'","b'HA-ASH'",0.0,242.78159,2,81.582,4,"b'Aunque No Estes Aqui (Navigate By The Stars)'",2008
38,"b'Savage Thoughts'","b'King Kapisi'",0.0,299.4673,8,87.599,4,"b'Shellshocked'",2000
39,"b'The Funny Pages'","b'Laws'",0.0,263.78404,4,121.754,4,"b'Rapping Guy'",0
40,"b'Lifer'","b'Lifer'",0.0,234.44853,1,166.83,7,"b'No Need'",2001
41,"b'Junction Seven'","b'Steve Winwood'",0.0,357.53751,1,169.196,4,"b"Plenty Lovin'"",1997
