SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b'Mcvicar - Original Sound Track'","b'Roger Daltrey'",0.0,204.32934,2,133.302,4,"b'Waiting For A Friend'",1980
2,"b'Sunshine'","b'Dance Nation'",0.0,415.63383,9,137.887,4,"b'Sunshine'",0
3,"b'Anicca'","b'Kati Mac'",0.0,206.81098,4,99.558,4,"b'Angels Are Watching'",0
4,"b'La escuela del odio'","b'Escuela de Odio'",0.0,103.28771,11,160.129,3,"b'Infancia secuestrada'",1994
5,"b'Living In A Box - The Hits'","b'Living In A Box'",0.0,220.1073,7,123.451,4,"b'Love Is The Art'",1987
6,"b'Every Sidewalk'","b'The Galactic Heroes'",0.0,170.55302,4,152.621,4,"b'Sing-A-Long'",0
7,"b'Mitch All Together'","b'Mitch Hedberg'",0.0,124.9171,11,78.224,1,"b'Candy Bars (LP Version)'",2003
8,"b'No One Left the Disco Alive'","b'Thumper'",0.0,225.43628,11,193.82,4,"b'Holy Roller'",0
9,"b'Crunch'","b'Harmful'",0.0,383.92118,11,146.047,4,"b'Crinch (Maxjay Mix)'",0
10,"b"'S Make It"","b'Art Blakey'",0.0,314.90567,3,76.783,4,"b'Lament For Stacy'",0
11,"b'Wu South Welfare Vol. II'","b'Cappadonna & Lounge Loe'",0.0,114.57261,10,87.778,4,"b'Fetish'",0
12,"b'Le Sentier Interdit'","b'Double V'",0.0,243.87873,4,114.123,4,"b"J'ai Gard\xc3\xa9 Des Fleurs De Toi"",0
13,"b"I'm Easy"","b'Keith Carradine'",0.0,266.23955,4,158.182,4,"b'SPELLBOUND (LP Version)'",0
14,"b'A F\xc3\xa1brica Do Poema'","b'Adriana Calcanhotto'",0.0,191.29424,0,109.187,3,"b'O Verme E A Estrela'",1994
15,"b"C'\xc3\xa8 Di Pi\xc3\xb9"","b'Alex Baroni'",0.0,226.29832,5,139.905,4,"b'E Ti Far\xc3\xb2 Volare'",2004
