SongNumber,AlbumName,ArtistName,Danceability,Duration,KeySignature,Tempo,TimeSignature,Title,Year
1,"b'Thank You'","b'Duran Duran'",0.0,169.82159,3,88.998,4,"b'Crystal Ship'",1994
2,"b'Ascent - Orbit'","b'Michael Dow'",0.0,572.13342,8,137.928,4,"b'Ascent'",2007
3,"b'The Best of Stanley Jordan'","b'Stanley Jordan'",0.0,387.082,7,101.529,4,"b'Over The Rainbow (Live)'",1995
4,"b'Bethany Dillon'","b'Bethany Dillon'",0.0,274.18077,6,110.642,4,"b'Aimless'",2004
5,"b'The Glow Of Television'","b'Xi'",0.0,176.43057,11,145.903,7,"b'Under My Feet'",0
6,"b'The Restless Stranger'","b'American Music Club'",0.0,164.67546,4,144.614,4,"b'Mr. Lucky (Album Version)'",1985
7,"b'Planet Loco'","b'Loco Loco'",0.0,170.52689,0,139.977,4,"b'Bubblegum Cowboy'",0
8,"b'Come Again'","b'Youth Brigade'",0.0,95.45098,2,150.391,4,"b"Can't Take It With You"",1992
9,"b'Shake A Tail Feather'","b'Ike & Tina Turner'",0.0,159.18975,0,106.679,1,"b"It's Gonna Work Out Fine"",1966
10,"b'Gave Me the Clap'","b'Crash Romeo'",0.0,190.6673,0,89.482,4,"b'Gave Me The Clap'",2008
11,"b'Soul Caddy'","b"Cherry Poppin' Daddies"",0.0,190.45832,6,115.213,4,"b'Grand Mal'",2000
12,"b'Grandes Exitos'","b'ANIBAL TROILO'",0.0,242.33751,4,116.481,3,"b'Orlando Go\xc3\xb1i'",1999
13,"b'Ikasten'","b'Berri Txarrak'",0.0,143.72526,7,101.177,4,"b'off'",1999
14,"b"Dick's Picks Volume 20: Capital Centre_ Landover MD 9/25/76 / Onondaga County War Memorial_ Syracuse_ NY 9/28/76"","b'Grateful Dead'",0.0,255.16363,9,146.856,3,"b'St. Stephen [1] [Live at Capital Centre_ September 25_ 1976]'",0
15,"b'Live at the baked Potato'","b"Brian Auger's Oblivion Express"",0.0,389.22404,0,96.131,4,"b'Straight ahead'",1974
16,"b'Journey'","b'Polaris'",0.0,208.90077,9,243.957,3,"b'Journey'",0
17,"b'Hot Potatoes: The Best Of Devo'","b'Devo'",0.0,163.47383,1,164.287,4,"b'Big Mess'",1982
18,"b'Shapes One'","b'Native Cell'",0.0,311.37914,0,94.899,4,"b'Ding Dong Fairy Queen'",2003
19,"b'Greatest Hits'","b'The Vogues'",0.0,151.95383,5,132.506,1,"b'Lovers Of The World Unite'",0
20,"b'IABF'","b'Les Thugs'",0.0,201.56036,5,143.5,4,"b'Paranoia'",0
21,"b'The Wild Mountain Thyme'","b'The Revels'",0.0,145.00526,8,110.965,4,"b'Bartholomew Fair'",0
22,"b'Tribute'","b'Onra_ Quetzal'",0.0,91.76771,11,85.78,4,"b'Misunderstood'",2006
23,"b'Thee Fine Lines'","b'Thee Fine Lines'",0.0,122.93179,0,142.222,4,"b'Open Up My Heart'",0
24,"b'Tha Gangsta Mix'","b'G Unit feat. 50 Cent'",0.0,182.56934,1,170.077,4,"b'Cut Master C Shit'",2002
25,"b' The Soundtrack To Your Life \x13 1947 '","b'Eddie Vinson'",0.0,201.06404,3,130.337,5,"b'Old Maid Boogie'",1947
26,"b'Yonder Mountain String Band'","b'Yonder Mountain String Band'",0.0,241.78893,2,205.997,3,"b'Just the Same'",2006
27,"b'Schwan'","b'Turbostaat'",0.0,135.75791,2,136.296,1,"b'Pop national'",2003
28,"b'Too Long In Slavery'","b'Culture'",0.0,200.61995,10,127.784,4,"b'The International Herb (2000 Digital Remaster)'",1990
29,"b'Life Is A Carnival'","b'The Wild Magnolias'",0.0,309.49832,10,207.809,4,"b'Life Is A Carnival'",0
30,"b'All my life'","b'Chick Webb And His Orchestra'",0.0,194.55955,2,102.206,4,"b'Undecided'",1990
31,"b'The Dreamer'","b'Kid Andersen'",0.0,176.56118,4,187.05,4,"b'Twist Of The Century'",0
32,"b'Drinking in the Moonlight'","b'New Radiant Storm King'",0.0,173.97506,3,112.357,4,"b'New Paltz Waltz'",0
33,"b'Shenkie'","b'De Jeugd Van Tegenwoordig'",0.0,212.87138,1,124.99,4,"b'Shenkie'",0
34,"b'Surrealistic Pillow'","b'Jefferson Airplane'",0.0,223.32036,2,129.714,1,"b'3/5 Of A Mile In 10 Seconds'",1967
35,"b'Fabul\xc3\xb6s'","b'Fabienne Louves'",0.0,201.79546,2,99.974,4,"b'Sexy BMW'",0
36,"b'What A Night! A Christmas Album'","b'Harry Connick_ Jr.'",0.0,164.54485,4,151.32,4,"b'Dance Of The Sugarplum Fairies'",2008
37,"b'Classica'","b'Novembre'",0.0,283.92444,11,198.692,3,"b"L'epoque Noire"",1999
38,"b'Heathers Head'","b'Jape Squad'",0.0,70.68689,2,81.549,4,"b'Breakfast With Jape Squad'",0
