,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
9058,9058,b442533,a12295,Wake Up Call,Maroon 5 / David Banner,2007,Wake Up Call,Maroon 5,2007,1
20565,20565,b264856,a25416,Three Babies,Sin\xc3\xa9ad O'Connor,1990,Three Babies,Sinéad O’Connor,1990,1
18281,18281,b774405,a21832,You Come Through,PJ Harvey,2004,You Come Through,PJ Harvey,2004,1
6391,6391,b617818,a8135,Winter Winter,Tellison,0,Winter,Tori Amos,1992,0
21362,21362,b685854,a26233,Wrapped Around Your Finger,The Police,1983,Wrapped Around Your Finger,The Police,1983,0
18921,18921,b520115,a22734,Jam Tomorrow,Adrian Legg,0,Tomorrow,Amanda Lear,1977,0
4625,4625,b3651,a6053,Wide Road,Lexy & K-Paul Feat. Dorian E,2007,Wide Road,Lexy & K-Paul-Dorian E.,2007,1
3131,3131,b819892,a3948,Whenever You're Around,The Spongetones,0,Whenever You're Ready,The Zombies,1965,0
23548,23548,b480377,a28551,Happy Xmas (War Is Over),The Polyphonic Spree,2004,Happy Xmas (War Is Over),The Harlem Community Choir,1971,0
16975,16975,b122833,a20644,It Must Be Love,Alan Jackson,1999,Must Be the Love,Arty-Nadia Ali-BT,2012,0
14232,14232,b102842,a17961,So Beautiful,Manafest,2008,#Beautiful,Mariah Carey-Miguel,2013,0
2761,2761,b537107,a3727,I Saw The Light,Terry Hall,1997,I Saw the Light,Todd Rundgren,1972,0
8884,8884,b368478,a12048,You Send Me,Lulu,0,You And Me,Lifehouse,2005,0
11222,11222,b575993,a14660,The Flow,TALAMASCA,0,The Flood,Take That,2010,0
18994,18994,b691131,a22905,Never Again,The Doits,0,Never Again,Tomas Ledin-Agnetha Fältskog,1982,0
8071,8071,b822475,a10500,No You Girls,Franz Ferdinand,2009,No You Girls,Franz Ferdinand,2009,1
4607,4607,b340762,a6022,I Feel Love,Kingston Wall,1993,I Feel Like,Kaskade,2002,0
120,120,b400070,a157,Do What You Want,The Agony Scene,2008,What You Want,The John Butler Trio,2004,0
25699,25699,b88865,a32517,Let Me,Paul Revere & The Raiders featuring Mark Lindsay,0,Let Me,Pat Green,2008,0
17666,17666,b395341,a21241,Sexy Bitch,DJ Dizzy,2009,Sexy Bitch,David Guetta-Akon,2009,0
11127,11127,b373911,a14583,SexyBack,Justin Timberlake Featuring Timbaland,2006,SexyBack,Justin Timberlake,2006,1
4131,4131,b376506,a5351,I'm Over You,Carmel,1989,I'm Not Over You,CeCe Peniston,1994,0
10708,10708,b245185,a14391,Signs,Sound Selektaz Feat. Daniel,0,Signs,Snoop Dogg-Justin Timberlake-Charlie Wilson,2005,0
13344,13344,b195362,a16998,The Way I Are,Timbaland / Keri Hilson / D.O.E. / Sebastian,2007,The Way I Are,Timbaland-Keri Hilson,2007,1
7014,7014,b177763,a8967,The Witch,Clinic,2008,The Witch,Clinic,2008,1
4166,4166,b36156,a5371,Beautiful Love,John Abercrombie,0,Beautiful,Julio D,2015,0
24595,24595,b560589,a30705,Start All Over Again,The Disco Boys,2007,Start Again,Teenage Fanclub,1997,0
10869,10869,b250252,a14492,Never Forget,The Unseen,2001,Never Forget,Take That,1995,0
17874,17874,b539121,a21418,Star,Extreme,0,Star,Erasure,1990,0
2156,2156,b503207,a3183,Dreaming,Movado,0,Daydreaming,Massive Attack,1990,0
19334,19334,b122242,a23404,Everything I Want,Bertine Zetlitz,2001,Everything I Own,Boy George,1987,0
14278,14278,b427942,a17996,Girlfriend,Buju Banton,0,Girlfriend/Boyfriend,Blackstreet-Janet Jackson-Eve-Ja Rule,1999,0
3970,3970,b707292,a5060,Home,San Quinn,0,Hotel Home,Spender-Gotye,2013,0
11753,11753,b676037,a15140,Give A Little Love,Bay City Rollers,1975,Give a Little Love,Bay City Rollers,1975,1
6949,6949,b532178,a8834,Joy,Lampshade,2006,Joy,Leona Lewis,2009,0
20415,20415,b774753,a25132,Change,KT Tunstall,2000,Change,Killing Joke,1992,0
19090,19090,b329413,a23135,Destiny,Avant,2000,Destiny,Apollo 440,1991,0
7572,7572,b658657,a9761,Live Ya Life,Sheek Louch,0,Live Your Life,Stéphanie,1987,0
14829,14829,b28223,a18577,Emotions,Starpoint,1985,Emotions,Samantha Sang-Bee Gees,2012,0
6322,6322,b618586,a8075,Been A Long Time,TV Rock Feat. Rudy,2008,Been a Long Time,TV Rock-Rudy,2008,1
14950,14950,b324560,a18746,My Happiness,Powderfinger,2000,My Happiness,Powderfinger,2000,1
23033,23033,b785174,a27989,Seduction,Sean Deason,0,Sensual Seduction,Snoop Dogg,2007,0
9232,9232,b281590,a12719,James Bond Theme (Moby's Re-Version) (Da Bomb Remix),Moby,1997,James Bond Theme (Moby's re-version),Moby,1997,1
2597,2597,b255655,a3592,Get Higher,Vera,0,Baby Get Higher,VanVelzen,2006,0
21105,21105,b288407,a25995,Home,Sticks & Stones,2003,Hotel Home,Spender-Gotye,2013,0
16505,16505,b317888,a20232,Ultrafunkula,Armand Van Helden,1997,Ultrafunkula,Armand van Helden,1997,1
12082,12082,b782828,a15548,One,Creed,0,One,Cody Simpson,2009,0
1670,1670,b754428,a2257,Dizzy,Vic Reeves / The Wonder Stuff,1991,Dizzy,Vic Reeves-The Wonder Stuff,1991,1
20567,20567,b682895,a25418,Silent Night,Stephen Varcoe/Choir of King's College_ Cambridge/Sir David Willcocks,0,Silent Night,Sinéad O’Connor,1991,0
6843,6843,b625214,a8712,Any Day Now,Cari\xc3\xb1a,0,Any Day Now,Cop Shoot Cop,1995,0
