,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
12487,12487,b2956,a15958,Mercy_ Mercy,Don Covay,0,Mercy,Duffy,2007,0
23793,23793,b780107,a28953,Mr. Jelly Lord,Jelly Roll Morton's Incomparables,0,Mr. Jelly Lord,Jelly Roll Morton,1924,1
18823,18823,b593667,a22592,I Will Follow You Into The Dark,Death Cab for Cutie,2005,I Will Follow You Into the Dark,Death Cab for Cutie,2006,1
19397,19397,b815063,a23447,Tonight,The Rubettes,1974,Tonight,The 69 Eyes,2013,0
17518,17518,b99853,a21119,Love Is Gone,Doctor (Peter) Clayton,0,Love Is Gone,David Guetta-Chris Willis,2007,0
15851,15851,b275912,a19498,Haunted,Stream of Passion feat. Ayreon,2005,Haunted,Shane MacGowan-Sinéad O’Connor,1995,0
16267,16267,b518587,a19976,Keep Hope Alive,The Crystal Method,1995,Keep Hope Alive,The Crystal Method,1996,1
20793,20793,b82061,a25653,Tristessa,The Smashing Pumpkins,1990,Tristessa,The Smashing Pumpkins,1990,1
3045,3045,b475415,a3907,Only You,The Watson Twins,2008,Only You,Train,2010,0
25355,25355,b373847,a31880,You Don't Know Me,Carole Bayer Sager,1981,You Don't Know,Cyndi Lauper,1997,0
23978,23978,b769555,a29191,Smile,Joyce Sims,0,Smile,Jamiroquai,2011,0
7561,7561,b372565,a9740,Dose,Filter,1994,Dose,Filter,1995,1
16102,16102,b255068,a19751,Circle of Light,Tony Levin_ Paul Dunmall,0,Circle of Life,Taylor Davis,2014,0
5325,5325,b612216,a7241,Cry,System F,2000,Cry,System F,2000,1
25029,25029,b387243,a31547,My Funny Valentine,Paul Brown,2004,My Valentine,Paul McCartney,2012,0
9143,9143,b590505,a12447,Goodbye_ My Little Darling,Mike Seeger,0,Goodbye Darling,MGMT,2016,0
21023,21023,b113406,a25892,You And Me,The Sutherland Brothers,0,You and Me,The Cranberries,2000,0
7290,7290,b806234,a9313,Rain,Mindi Abair,2006,Rain,Madonna,1992,0
5690,5690,b63257,a7477,Positive Education,Slam,1993,Positive Education,Slam,1993,1
25356,25356,b47079,a31880,I Don't Know,Chelonis R. Jones,2005,You Don't Know,Cyndi Lauper,1997,0
2153,2153,b349952,a3183,Dreaming,Monsieur Dubois,0,Daydreaming,Massive Attack,1990,0
12009,12009,b608441,a15443,Heat,DJ Cata featuring Angie,0,Heartbeat,Daniel Küblböck,2003,0
20829,20829,b792605,a25694,Sunday,Serpentine,0,Sunday,Sonic Youth,1998,0
3347,3347,b783541,a4309,Temptation,Walter Trout,1997,Temptation,Wet Wet Wet,1988,0
5936,5936,b277290,a7709,Breathe,The Cinematic Orchestra,2007,Breathe,Télépopmusik,2001,0
1886,1886,b462651,a2756,Wrecking Ball,Mother Mother,2008,Wrecking Ball,Miley Cyrus,2013,0
14781,14781,b459802,a18506,California,Pat Green,2003,California,Phantom Planet,2002,0
6337,6337,b418218,a8093,Happy,The Bamboos,0,Happy,Towa Tei,1997,0
19987,19987,b394308,a24201,Nag_ Nag_ Nag,Cabaret Voltaire,0,Nag Nag Nag,Cabaret Voltaire,1979,1
11519,11519,b542981,a14860,Winter Wonderland,The Honorary Title,0,Winter Wonderland,Tony Bennett-Lady Gaga,2014,0
10778,10778,b686937,a14414,Angel,Saybia,2007,Angel,Sarah McLachlan,1999,0
22711,22711,b150652,a27641,Trouble,Bitter Sweet,2008,Trouble,Bei Maejor-J. Cole,2011,0
16902,16902,b393713,a20569,Last Call,Brazilian Girls,2006,Last Call,Brazilian Girls,2006,1
14583,14583,b604785,a18316,Other Side,D:Fuse,2004,The Other Side,David Gray,2002,0
11961,11961,b19931,a15402,Dream,Con Dolore,2001,Dream A Dream,Captain Jack,1999,0
8291,8291,b586483,a10781,Who We Are,Hope Partlow,2005,We Are,Hollywood Undead,2012,0
18532,18532,b436128,a22160,There's The Girl,Heart,0,There's the Girl,Heart,1987,1
9481,9481,b534688,a13162,More News From Nowhere (Radio Version),Nick Cave & The Bad Seeds,2008,More News From Nowhere,Nick Cave & The Bad Seeds,2008,1
25109,25109,b483610,a31634,The Way You Are,Bryn Christopher,2008,Just the Way You Are,Billy Joel,1977,0
3442,3442,b246425,a4465,Hey Whatever,Westlife,2003,Hey Whatever,Westlife,2003,1
7134,7134,b708934,a9087,I Am,Lustral,0,I Am,Leona Lewis,—,0
13542,13542,b403667,a17226,Change,Kelli Sae,0,Changes,Kelly Osbourne,2003,0
24931,24931,b506911,a31372,Sunrise,Norah Jones,2004,Sunrise,Norah Jones,2004,1
11120,11120,b230987,a14582,Light My Fire,Al Green,1971,Light My Fire,Amii Stewart,—,0
17995,17995,b611759,a21546,Underclass Hero,Sum 41,2007,Underclass Hero,Sum 41,2007,1
11345,11345,b670246,a14741,LoveStoned/I Think She Knows,Justin Timberlake,2007,LoveStoned/I Think She Knows (remixes),Justin Timberlake,2007,1
24959,24959,b261412,a31413,You're the one,Scums,0,You're the One,Shane MacGowan-Moya Brennan,1995,0
8945,8945,b187476,a12156,Georgia On My Mind,MARTIN TAYLOR,1992,Georgia On My Mind,Michael Bolton,1989,0
19139,19139,b352538,a23194,Aftermath,Ronny Jordan,2000,Aftermath,R.E.M.,2004,0
4211,4211,b672365,a5423,Man of the World,The London Rock Orchestra,1997,The End of the World,The Cure,2004,0
