,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
22381,22381,b19587,a27309,Music Machine,Philippe Rochard,2004,My Machine,Princess Superstar,2005,0
532,532,b211941,a712,California Rain,Silvertide,2004,California,Something for Kate,2007,0
20572,20572,b109247,a25418,Silent Night,Simon Wynberg,0,Silent Night,Sinéad O’Connor,1991,0
18582,18582,b205463,a22286,Fallen Angels,EDGUY,2001,Fallen Angel,Elbow,2003,0
7274,7274,b279193,a9304,Alive Again,Champion,0,Alive Again,Cher,2001,0
2066,2066,b464435,a3111,She Wants To Move,N.E.R.D.,2004,She Wants to Move,N*E*R*D,2003,1
9716,9716,b398300,a13518,Shake Me Up,Sorcery,0,Shake It Up,Selena Gomez,2011,0
12055,12055,b265730,a15491,Freestyle 49,Busta Flex,0,Freestyler,Bomfunk MC’s,2000,0
301,301,b252082,a427,Real Good Thing,Timebox,1998,The Good Thing,Talking Heads,1978,0
8270,8270,b740826,a10727,When The Lovelight Starts Shining Through His Eyes,The Supremes,1963,When the Lovelight Starts Shining Through His Eyes,The Supremes,1963,1
13078,13078,b490657,a16783,Trains And Winter Rains,Enya,2008,Trains and Winter Rains,Enya,2008,1
7468,7468,b364649,a9576,In Life,D.A. Jay,0,In This Life,Delta Goodrem,2007,0
12043,12043,b105724,a15477,Everything,Bitter Sweet,2008,Everything I Own,Boy George,1987,0
9835,9835,b738224,a13644,Love,Sloppy Meateaters,0,Lovedrive,Scorpions,1979,0
8482,8482,b569991,a11095,Halt mich,Herbstrock,0,Halt mich,Herbert Grönemeyer,1988,0
11794,11794,b352808,a15150,Everything,Anouk,0,Everything,Alanis Morissette,2004,0
12005,12005,b100171,a15443,Heat,DMX,1998,Heartbeat,Daniel Küblböck,2003,0
17257,17257,b792659,a20906,Waisted Love,Audience,0,Twisted Love,ATB,2011,0
21672,21672,b507770,a26522,Crazy,Aerosmith,1993,Crazy,Alanis Morissette,2005,0
8892,8892,b268047,a12058,Plaster Casts Of Everything,Liars,2007,Plaster Casts of Everything,Liars,2007,1
10243,10243,b823544,a14086,Home,Smash Mouth,1999,Home,Sheryl Crow,—,0
9142,9142,b320222,a12446,Your Life,Maria Lawson,2006,Your Life Is a Lie,MGMT,2013,0
6755,6755,b95455,a8564,Let's Go,Capitol Eye,0,Let’s Go,Calvin Harris-Ne‐Yo,2012,0
23989,23989,b312989,a29195,Window,The Mercury Project,0,Windows.,Titus G. Productions,2014,0
18625,18625,b54828,a22388,If You Say You Love Me,El Presidente,0,Don't Say You Love Me,Erasure,2005,0
9554,9554,b383844,a13235,Beautiful,Matt Darey Feat. Marcella Woods,2001,Beautiful,Moby,2005,0
7145,7145,b379008,a9096,I Miss You,Conya Doss,2008,Miss You,Clinic,2012,0
19555,19555,b683404,a23728,The Way of Love,Brave Combo,1993,The Price of Love,Bryan Ferry,1989,0
9269,9269,b90367,a12797,Getting Closer (Live),Nitzer Ebb,1991,Getting Closer,Nitzer Ebb,1990,1
4926,4926,b115229,a6548,Happiness,Noe Venable,2002,Happiness!,Nightmares on Wax,1992,0
3572,3572,b570163,a4642,Fool Again,Westlife,1999,Fool Again,Westlife,—,1
23338,23338,b807557,a28307,Let It Snow,The Royal Philharmonic Orchestra,0,Let It Snow! Let It Snow! Let It Snow!,Tyrone Wells,2006,0
6401,6401,b101862,a8137,Cornflake Girl,Tori Amos,1994,Cornflake Girl,Tori Amos,1994,1
16275,16275,b618402,a19980,Calling,Bettie Serveert,2010,Falling,Ben Westbeech,2011,0
8266,8266,b560656,a10709,Never Ending Story,Giorgio Moroder,2000,Never Ending Story,Giorgio Moroder,2000,1
21885,21885,b635526,a26713,Mint Car,The Cure,1996,Mint Car,The Cure,1996,1
17548,17548,b715246,a21138,Bullets,Creed,0,Bullet,Covenant,2002,0
19,19,b415646,a8,Believe,Chalee Tennison,2003,Believe Me,Chelsea Watts-Sam Watts,2014,0
3495,3495,b100717,a4546,Rehab,Amy Winehouse,2006,Rehab,Amy Winehouse,2006,1
10879,10879,b582153,a14496,Shine,Twisted Method,2003,Shine,Take That,2007,0
1543,1543,b605583,a2101,Little Darling,The Rubettes,1975,Little Darling,Thin Lizzy,1974,0
12485,12485,b617633,a15955,You & Me,Delays,2006,You & Me,Disclosure-Eliza Doolittle,2013,0
25083,25083,b157944,a31625,Breathe,Smartbomb,2001,Breathe,Schiller-September,2008,0
25826,25826,b227081,a33018,Downtown,Nancy LaMott,0,Downtown,Neil Young,1995,0
6981,6981,b66939,a8890,Blue light,DJ Myde,0,Blue Light,David Gilmour,1984,0
12890,12890,b553419,a16489,Escape,Electro Hippies,1987,Escape,Enrique Iglesias,2002,0
5935,5935,b244154,a7709,Breathe...,Trouble,1992,Breathe,Télépopmusik,2001,0
795,795,b760470,a1271,We Sure Can Love Each Other,Tammy Wynette,1998,We Are Each Other,The Beautiful South,1992,0
10663,10663,b704490,a14373,Love Light In Flight,Stevie Wonder,1984,Love Light In Flight,Stevie Wonder,1984,1
14914,14914,b162480,a18701,"Speedin""",Rick Ross / R. Kelly,0,Speeding,Rudimental,2011,0
