,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
3865,3865,b515260,a4922,(We Don't Need This) Fascist Groove Thang (Rapino Club Mix),Heaven 17,2009,(We Don't Need This) Fascist Groove Thang,Heaven 17,1981,1
13338,13338,b516219,a16991,Smile,K'Naan,2004,Smile,Kidda,2008,0
23267,23267,b583603,a28223,What Do You Want,The Yardbirds,1966,What You Want,The John Butler Trio,2004,0
8636,8636,b404753,a11504,Hammerhead,John Zorn,1990,Hammerhead,James Reyne,1987,0
7827,7827,b539121,a10225,Star,Extreme,0,Star,Erasure,1990,0
7570,7570,b548190,a9754,Come Go With Me,Del Vikings,1957,Come Away With Me,Donots,2012,0
2475,2475,b752780,a3483,"Keep The Fire Burnin""",REO Speedwagon,1982,Keep the Fire Burnin',REO Speedwagon,1982,1
5612,5612,b610639,a7445,Bedsitter,Soft Cell,1981,Bedsitter,Soft Cell,1981,1
13754,13754,b276845,a17400,Black Capricorn Day,Jamiroquai,1999,Black Capricorn Day,Jamiroquai,2000,1
20888,20888,b326966,a25765,You Were My Everything,Two Minute Silence,2009,You Me & Everything,The Shamen,1989,0
8605,8605,b445288,a11450,Where Do We Go From Heaven,The Mighty Lemon Drops,1989,Where Do I Go From Here,The Supremes,1975,0
9366,9366,b355844,a12996,The Beast,The Only Ones,1978,The Beat,The Bloody Beetroots-Peter Frampton,2014,0
19915,19915,b368955,a24115,Gangsta,Total Science & S.P.Y.,0,Gangsta?,Tinchy Stryder,2010,0
10060,10060,b367611,a13931,Feel,Rob E,0,Feel,Robbie Williams,2002,0
21384,21384,b451554,a26237,The Way We Talk,The Maine,2007,The Walk,The Cure,1983,0
9199,9199,b201832,a12600,Float On,Modest Mouse,2003,Float On,Modest Mouse,2004,1
17710,17710,b59096,a21282,Les Djinns,Djuma Soundsystem,2009,Les Djinns,Djuma Soundsystem,2003,1
20881,20881,b488956,a25760,Rocket,The Smashing Pumpkins,1993,Rocket,The Smashing Pumpkins,1994,1
25656,25656,b481618,a32399,Innocence,Mind Funk,1991,Innocent,Mike Oldfield,1989,0
14158,14158,b444109,a17905,Sometime,Miguel Migs,0,Sometimes,Miami Horror,2009,0
22042,22042,b161277,a26912,My Life,Swollen Members,2009,My Life,Slaughterhouse,2012,0
20376,20376,b648409,a25001,It's A New Day,KC Da Rookee,0,A New Day,Killing Joke,1984,0
16173,16173,b414314,a19839,Silver Pills,Alec Empire,1997,Silverlake Pills,Adam Freeland,2007,0
15899,15899,b783885,a19560,Dreams,DJ Icey,2003,Dreams,Deep Dish-Stevie Nicks,2005,0
19231,19231,b722078,a23256,I'll Look Around,Billie Holiday,1947,Look Around,Beat Happening,1987,0
2458,2458,b782554,a3455,My Love,Meitz,2003,My Love Life,Morrissey,1991,0
11505,11505,b25560,a14858,Anything Goes,The High Strung,2005,Anything Goes,Tony Bennett-Lady Gaga,2014,0
24665,24665,b770287,a30829,Love Hurts,Clare Teal,2008,Love Hurts,Cher,1991,0
18570,18570,b557015,a22279,Falling Down,Jehst,0,Fall Down,Jebediah,2001,0
1721,1721,b141736,a2282,Untitled,TERRY BOZZIO & METROPOLE ORKEST,2005,Untitled,The Smashing Pumpkins,2001,0
16449,16449,b430362,a20181,Tell Me Why,Tycoon,0,Tell Me When,The Human League,1995,0
2641,2641,b784068,a3645,Surprise,Bizarre Inc,1996,Surprise Surprise,Billy Talent,2012,0
12209,12209,b424241,a15655,Reflection,Cliff Eidelman,0,Reflection,Christina Aguilera,1998,0
2941,2941,b354688,a3851,Breathe Again,Toni Braxton,1993,Breathe Again,Toni Braxton,1993,1
21367,21367,b106157,a26234,Synchronicity III,Turing Machine,2004,Synchronicity II,The Police,1983,0
2548,2548,b664710,a3547,Silent Night,The Bachelors,0,Silent Night,The Flaming Lips,2008,0
3483,3483,b223587,a4538,Good Gal,Charlie Spand,0,Good Girl,Carrie Underwood,2012,0
9676,9676,b23962,a13461,I'll Be Your Baby Tonight,Robert Palmer Featuring UB40,1990,I’ll Be Your Baby Tonight,Robert Palmer-UB40,1990,1
13674,13674,b10467,a17350,Hold On,True West,2007,Holding On,Tourist-Josef Salvat-Niia,2015,0
14614,14614,b196636,a18356,Sometimes,Logh,2007,Sometimes,Les Rythmes Digitales-Nik Kershaw,1999,0
22468,22468,b120020,a27433,Old School,Lil Rob,0,Old School Love,Lupe Fiasco,2013,0
23887,23887,b770523,a29090,Already There,The Sight Below,2008,Already There,Taylor McFerrin-Robert Glasper-Thundercat,2014,0
22494,22494,b132893,a27453,Playing With Fire,N-Dubz / Mr Hudson,0,Playing With Fire,N-Dubz-Mr Hudson,2010,1
5452,5452,b414295,a7303,No Fate,Scooter,0,No Fate,Scooter,1997,1
18103,18103,b98698,a21641,The Fun Machine Took A Shit and Died,Queens Of The Stone Age,2007,The Fun Machine Took a Shit & Died,Queens of the Stone Age,2005,1
6607,6607,b279596,a8333,Alone,The Chicharones,2004,Alone.,Titus G. Productions-FanaElectric,2016,0
15328,15328,b400996,a19033,Slipping Away,Martin Briley,0,Slipping Away,Moby,2005,0
15704,15704,b489207,a19342,Remember It Now,Steve Roach,1997,I Remember Now,Sertab Erener,2007,0
7615,7615,b578963,a9831,Tonight,DJ Bobo,2010,Tonight,Def Leppard,1993,0
13059,13059,b449491,a16750,True Colours,Go West,1986,True Colours,Go West,1986,1
