,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
25041,25041,b80431,a31549,One,Keziah Jones,2008,Only One,Kanye West-Paul McCartney,2014,0
22558,22558,b642547,a27515,Do It Again,Sandra Nasic,2007,Say It Again,Scribe-Tyra Hammond,2008,0
115,115,b721573,a157,What You Want,The Roots feat. Jaguar,0,What You Want,The John Butler Trio,2004,0
9793,9793,b245383,a13559,Angels,Robin Thicke,2006,Angels,Robbie Williams,1997,0
14355,14355,b616183,a18033,Sometime,Norris Man,0,Sometimes,Nina Persson,2014,0
1884,1884,b740206,a2735,Headfirst For Halos,My Chemical Romance,2002,Headfirst for Halos,My Chemical Romance,2004,1
12341,12341,b416832,a15777,Higher,The Game,0,Higher,Taio Cruz-Kylie Minogue,2010,0
15729,15729,b339218,a19402,One Time We Lived,Moby,2009,One Time We Lived,Moby,2009,1
18683,18683,b141989,a22433,Deep Inside,Ion,0,Devil Inside,INXS,1988,0
3745,3745,b825305,a4832,On the Run (The Battle Is Over) [Version],Billy Ocean,0,On The Run (The Battle Is Over),Billy Ocean,1985,1
12352,12352,b323122,a15802,Evil Woman,Electric Light Orchestra,1975,Evil Woman,Electric Light Orchestra,1976,1
6771,6771,b760198,a8631,Runnin' Riot (Live),Cock Sparrer,1984,Runnin' Riot,Cock Sparrer,1977,1
12941,12941,b493855,a16567,Illumination,Fertile Ground,2002,Love Illumination,Franz Ferdinand,2013,0
16084,16084,b209358,a19733,Home,Scott McKeon,0,Home,Sheryl Crow,—,0
811,811,b143084,a1283,Don't Bring Me Down,The Animals,1966,Don't Bring Me Down / Cheating,The Animals,1966,1
12406,12406,b447668,a15851,The Prayer,Carl Doy,0,The Prayer,Christina Aguilera-Chris Mann,2012,1
18430,18430,b200434,a22024,Just One More Time,Derek Martin,0,Just One Last Time,David Guetta,2012,0
5710,5710,b265665,a7509,Catch,Sunscreem,1997,Catch,Sunscreem,1997,1
19804,19804,b192121,a24017,Take Me Back,Tinchy Stryder / Taio Cruz,0,Take Me Back,Tinchy Stryder-Taio Cruz,2008,1
16073,16073,b139542,a19733,Home,Solveig Slettahjell,0,Home,Sheryl Crow,—,0
13757,13757,b393840,a17402,Little Life,Josephine Foster,0,Little L,Jamiroquai,2001,0
20836,20836,b728705,a25704,Everybody's Somebody's Fool,The Bluebells,1984,Everybody's Fool,Teenage Fanclub,1990,0
3561,3561,b271717,a4638,Surrender,Way Out West,0,Sweet Surrender,Wet Wet Wet,—,0
8672,8672,b589818,a11672,I Wish It Was Christmas Today,Julian Casablancas,2009,I Wish It Was Christmas Today,Julian Casablancas,2009,1
15672,15672,b300191,a19324,I Thought About You,The Allies,0,I Thought About You,The Beautiful Girls,2007,0
24191,24191,b280300,a29480,Black Heart,Chimaira,2007,Black Heart,Calexico,2004,0
15688,15688,b366042,a19326,Blackbird Song,Maple Bee,0,Blackbird,Mat McHugh-The Beautiful Girls,2014,0
20018,20018,b723966,a24290,Shine,Diana Ross,1987,Shine,David Gray,1993,0
11037,11037,b814432,a14551,Telephone,Lady Gaga / Beyonc\xc3\xa9,2010,Telephone,Lady Gaga-Beyoncé,2010,1
13362,13362,b340317,a17009,I Want You,Janet Jackson,2004,I Want Your Love,Jody Watley,2008,0
5977,5977,b736121,a7753,Wasting Away,The Northern Pikes,1999,Walking Away,The Egg,2005,0
23060,23060,b641448,a28030,Mrs. Robinson,Simon & Garfunkel,1968,Mrs. Robinson,Simon & Garfunkel,1968,1
18136,18136,b762835,a21683,Closer,Nine Inch Nails,1994,Closer,Nine Inch Nails,1994,1
4048,4048,b711186,a5195,Tragic Hero,Funker Vogt,1998,Tragic Hero,Funker Vogt,1998,1
19866,19866,b517108,a24066,Hello Hello,Abrar - Ul - Haq,0,Hello,Adele,2015,0
1873,1873,b392859,a2670,William Tell Overture,Mike Oldfield,1977,William Tell Overture,Mike Oldfield,1977,1
20607,20607,b717704,a25480,Bones_ Bones_ Bones,The Golden Gate Quartet,0,Bones,The Killers,2006,0
16083,16083,b823544,a19733,Home,Smash Mouth,1999,Home,Sheryl Crow,—,0
16941,16941,b113613,a20604,Monster,Klone,0,Monster,Kanye West-Rick Ross-Bon Iver-Nicki Minaj,2010,0
13853,13853,b484841,a17526,Love Foolosophy,Jamiroquai,2001,Love Foolosophy,Jamiroquai,2001,1
7039,7039,b457286,a8985,Vertigo,U2,2004,Vertigo,U2,2004,1
21424,21424,b711601,a26259,Beautiful Lies,B-Complex,2009,Beautiful Liar,Beyoncé-Shakira,2007,0
5708,5708,b415950,a7509,Catch,Sunscreem,1997,Catch,Sunscreem,1997,1
825,825,b626075,a1297,Movin,Skylark,0,Moving,Supergrass,1999,0
14893,14893,b775383,a18653,Love Of The Common People,Paul Young,1983,Love of the Common People,Paul Young,1983,1
2710,2710,b183830,a3694,Interlude,MFSB,0,Interlude,Morrissey,1994,0
17489,17489,b485241,a21092,Know-How,Kings Of Convenience Featuring Feist,2004,Know-How,Kings of Convenience-Feist,2005,1
15527,15527,b805959,a19186,Black Bird,Triinu Kivilaan,2008,Black Bird,The Beautiful Girls,2003,0
22282,22282,b479651,a27207,My Life,Kutt Calhoun,2004,My Life,Kool G Rap,2001,0
25097,25097,b820558,a31626,You,Simon Dupree & The Big Sound,0,You,Schiller-Colbie Caillat,2008,0
