,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
12568,12568,b752532,a16054,Run,Stephen Fretwell,2002,Run,Sash!-Boy George,—,0
5729,5729,b355471,a7514,I'm Your Pusher,Scooter,0,I'm Your Pusher,Scooter,2000,1
6663,6663,b339695,a8419,Good Time,Peran,2001,Feel Good Time,P!nk-William Orbit,2003,0
14694,14694,b635919,a18399,Man-Eater,Nic Endo,2001,Maneater,Nelly Furtado,2006,0
1420,1420,b764102,a1947,Yesterday,Arthur Fiedler,0,Yesterday,Adam Levine-Tony Lucca,2012,0
17476,17476,b487145,a21080,I Ran (So Far Away) Tech Mix,Darude,0,I Ran (So Far Away),Darude-Blake Lewis,2008,1
5931,5931,b673468,a7709,Breathe In,The Loved Ones,0,Breathe,Télépopmusik,2001,0
14375,14375,b692849,a18073,Everything you need,Monodeluxe,0,Everything I Need,Men at Work,1985,0
1712,1712,b416105,a2282,Untitled 3,Thuja,0,Untitled,The Smashing Pumpkins,2001,0
11336,11336,b544826,a14739,What Goes Around...Comes Around,Justin Timberlake,2007,What Goes Around...Comes Around,Justin Timberlake,2007,1
13131,13131,b584183,a16828,Daughters,John Mayer,0,Daughters,John Mayer,2004,1
2538,2538,b662992,a3535,Dance Of The Mad,Pop Will Eat Itself,1997,Dance of the Mad,Pop Will Eat Itself,1990,1
19342,19342,b650686,a23405,Livin' My Life,Bullet,0,Live My Life,Boy George,1987,0
11732,11732,b533423,a15108,"Say Somethin""",Asamov,0,Say Somethin,Austin Mahone,2012,0
7689,7689,b416701,a9950,He Can Work It Out,Dottie Peoples,0,Work It Out,Def Leppard,1996,0
8258,8258,b191186,a10708,The Chase,Giorgio Moroder,1996,The Chase,Giorgio Moroder-Jam & Spoon,2000,1
19081,19081,b686653,a23091,Bad Day,Rock Hard Power Spray,0,Bad Day,R.E.M.,2003,0
4925,4925,b489738,a6547,Set You Free,New Generation Superstars,2009,Set Me Free,Nightmares on Wax,1992,0
18875,18875,b177260,a22687,Stay,The Funky Lowlives,2002,Stay,Thirty Seconds to Mars,2014,0
22522,22522,b464472,a27484,Can You Rock It Like This,RUN-DMC,1985,Can You Rock It Like This,Run‐D.M.C.,1985,1
18968,18968,b715424,a22858,Soul Singing,The Black Crowes,2001,Soul Singing,The Black Crowes,2001,1
18450,18450,b276090,a22033,Fell For You,The Dramatics,1973,For You,The Disco Boys-Manfred Mann’s Earth Band,2005,0
18113,18113,b457676,a21659,The Wind,Peasant,2009,The Wind,PJ Harvey,1999,0
593,593,b375697,a777,Hold On,Sam Bush,0,Holding On,Steve Winwood,1988,0
2749,2749,b554813,a3719,The Same Love,The Jets,0,The Game of Love,Tony Hadley,1992,0
1140,1140,b582537,a1644,Down to the Bone,Toad,0,Down to the Ark,The Mountain Goats,2008,0
18873,18873,b57024,a22687,Stay,The Incurables,0,Stay,Thirty Seconds to Mars,2014,0
11889,11889,b140743,a15279,Love Me Like I Love You,Byther Smith,1991,Love Me Like I Love You,Bay City Rollers,1976,0
13389,13389,b658232,a17035,I Think We're Alone Now,Girls Aloud,2006,I Think We're Alone Now,Girls Aloud,2006,1
19374,19374,b231193,a23445,Red,The Locust,2003,Red,The 69 Eyes,2012,0
5642,5642,b245320,a7450,Heartbeat,Scouting for Girls,2007,Heat,Soft Cell,1983,0
23197,23197,b138662,a28158,Amazing G.,Drag The River,0,Amazing,David Banner-Chris Brown,2012,0
22105,22105,b637986,a26950,Get It Out,Marc Vedo,0,Get It,Mizz Nina-Theo Martins-DJ Fuzz,2011,0
17640,17640,b643443,a21214,Hold On,Ferrick_ Melissa,2000,Holding On,Ferry Corsten,2005,0
11510,11510,b99594,a14860,Winter Wonderland,The Strings Of Paris,0,Winter Wonderland,Tony Bennett-Lady Gaga,2014,0
18334,18334,b722711,a21940,The Man With The Child In His Eyes,Kate Bush,1978,The Man With the Child in His Eyes,Kate Bush,1978,1
9796,9796,b491391,a13563,No Regrets,Robbie Williams,1998,No Regrets,Robbie Williams,1998,1
3967,3967,b27080,a5060,Home,Stephanie Mills,0,Hotel Home,Spender-Gotye,2013,0
24048,24048,b82731,a29248,Just Good Friends,Fish,0,Just Good Friends,Fish-Sam Brown,1995,1
22907,22907,b137947,a27833,Party People,Nelly / Fergie,2008,Party People,Nelly-Fergie,2008,1
7829,7829,b7154,a10239,Irresistable,For Against,0,Irresistible,Fall Out Boy,2015,0
10080,10080,b362102,a13961,Round & Round,Shadiya,0,Round Round,Sugababes,2002,0
15379,15379,b617735,a19078,Fire,Aceyalone,2006,Fire,Aceyalone-RJD2,2005,1
17682,17682,b97674,a21248,Know What You Want,Boyz II Men,2000,What You Want,Boys Noize,2012,0
10354,10354,b796074,a14150,You've Changed,Larry Vuckovich,0,You’ve Changed,Lauren Flax-Sia,2009,0
11668,11668,b520876,a15018,I Belong To You (Il Ritmo Della Passione),Eros Ramazzotti & Anastacia,2006,I Belong to You (Il ritmo della passione),Eros Ramazzotti-Anastacia,2005,1
3884,3884,b551860,a4997,Possibly Maybe,Bj\xc3\xb6rk,1995,Possibly Maybe,Björk,1996,1
9642,9642,b518575,a13396,Everyday,Phil Collins,1993,Everyday,Phil Collins,1994,1
23370,23370,b533608,a28359,American Man,Velvet Revolver,2007,American Music,Violent Femmes,1991,0
8274,8274,b153871,a10729,Where Did Our Love Go  [Live],The J. Geils Band,2006,Where Did Our Love Go,The Supremes,1964,0
