,id,ltable_ID,rtable_ID,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,match
3351,3351,b749484,a4311,Love Is All Around,Wet Wet Wet,1994,Love Is All Around,Wet Wet Wet,1994,1
4205,4205,b531595,a5423,The Story of the World,The Jet Set,0,The End of the World,The Cure,2004,0
17574,17574,b551533,a21149,After Hours,The Bluetones,2002,Afterhours,TroyBoi-Diplo-Nina Sky,2015,0
630,630,b177037,a853,Silent Night,SWV,1997,Silent Night,Sinéad O’Connor,1991,0
11245,11245,b79248,a14662,Love Me,Thirsty Moon,0,Love Love,Take That,2011,0
22660,22660,b655519,a27618,Dilemma,Nelly featuring Kelly Rowland,2005,Dilemma,Nelly,2002,1
21721,21721,b251515,a26537,Everything,Stereo Fuse,2002,Try Everything,Shakira,2016,0
14139,14139,b415426,a17863,Anytime You Need A Friend,Mariah Carey,1993,Anytime You Need a Friend,Mariah Carey,1993,1
16027,16027,b397961,a19642,Jealousy,Steven Seagal,2004,Jealous,Sinéad O’Connor,2000,0
7395,7395,b304253,a9467,Let It Go!,Deitra Farr,0,Let It Go,Def Leppard,1981,0
15855,15855,b401107,a19510,Wait For Me,Moby,2009,Wait for Me,Moby,2010,1
18650,18650,b107149,a22410,Somewhere Else,The Old Dead Tree,2003,Somewhere,Tom Waits,1978,0
9238,9238,b521964,a12720,Honey,Mariah Carey,1997,Honey,Moby,1998,0
8338,8338,b368988,a10833,My Baby Love,Temprees,1972,Baby Love,The Supremes,1964,0
15563,15563,b36359,a19229,Oh Carolina,Shaggy,1993,Oh Carol,Smokie,1978,0
12976,12976,b789926,a16599,I Died For Love,Ballboy,2004,I Did It For Love,BoA-Sean Garrett,2009,0
23505,23505,b79864,a28500,Rain On The Roof,The Lovin' Spoonful,1966,Rain on the Roof,The Lovin’ Spoonful,1966,1
10485,10485,b776836,a14229,Wir werden singen,2raumwohnung,2001,Wir werden sehen,2raumwohnung,2009,1
22956,22956,b395873,a27902,The Way You Move,OutKast Featuring Sleepy Brown,2004,The Way You Move,OutKast-Sleepy Brown,2004,1
6600,6600,b294488,a8321,Stay,The Cat's Miaow,1997,Stay,Thirty Seconds to Mars,2014,0
15364,15364,b656598,a19066,Every Kinda People,Robert Palmer,1978,Every Kinda People,Robert Palmer,1991,1
17863,17863,b529984,a21414,Freak,Stephen Pearcy,2002,Freak,Silverchair,1997,0
3800,3800,b430856,a4889,Silent Night,The Brady Bunch,0,Silent Night,The Flaming Lips,2008,0
6931,6931,b475811,a8830,Without You,Chieli Minucci,2003,Without Your Love,Chris Norman,2006,0
14711,14711,b641057,a18429,The Man I Love,Dinah Washington,1987,The One I Love,David Gray,—,0
10192,10192,b502403,a14032,Missing You,Anthony Cruz,0,Miss You,Aaliyah,2003,0
13585,13585,b544974,a17242,Do You Wanna Go Party,KC & The Sunshine Band,1979,Do You Wanna Go Party,KC and The Sunshine Band,1979,1
5200,5200,b700775,a7103,Avenue,Saint Etienne,1992,Avenue,Saint Etienne,1992,1
8921,8921,b247614,a12108,True Love,Alain Morisod,0,True Love 1980,Ash,2009,0
19050,19050,b113495,a23014,Blackout,Adr Lavey,0,Blackout,Apollo 440,1991,0
14394,14394,b764786,a18086,Shake 'Em Down,Miles Hunt,0,Shake It Down,Mud,1976,0
2783,2783,b627013,a3765,It'll Be Alright,The Elders,0,We'll Be Alright,Travie McCoy,2010,0
22761,22761,b79882,a27696,Gangsta,Sefyu,0,Gangsta,Slim Thug-Z-Ro,2010,0
8917,8917,b657533,a12096,I'm Your Man,Leonard Cohen,1988,I'm Your Man,Leonard Cohen,1988,1
3473,3473,b190496,a4532,Greatest Hit,Annie,0,The Greatest Hit,Annie,2000,1
18871,18871,b469625,a22686,Do or Die,Tommy Wright III,0,Do Or Die,Thirty Seconds to Mars,2013,0
24131,24131,b231549,a29391,Coming Down,Future Loop Foundation,1999,Not Coming Down,Ferry Corsten-Betsie Larkin,2012,0
5287,5287,b24981,a7189,White Lies,Paul Van Dyk Featuring Jessica Sutta,0,White Lies,Paul van Dyk,2007,1
419,419,b404298,a572,Monsters,Switchblade Symphony,1999,Monsters,Something for Kate,2001,0
13672,13672,b6339,a17350,Hold On,The Rascals,0,Holding On,Tourist-Josef Salvat-Niia,2015,0
10029,10029,b57188,a13921,You Came Into My Life,Singing Melody,0,When You Came Into My Life,Scorpions,1996,0
15962,15962,b633313,a19613,Fade Away,Squealer,2002,Not Fade Away,Sheryl Crow,2007,0
2953,2953,b629597,a3856,Dizzy,Tommy Roe,1969,Dizzy,Tommy Roe,1969,1
14325,14325,b747628,a18012,Doctor Pressure,Mylo featuring Miami Sound Machine,2006,Doctor Pressure,Mylo-Miami Sound Machine,2005,1
14399,14399,b313414,a18101,Decision,Bill Conti,1982,Decisions,Borgore-Miley Cyrus,2013,0
11114,11114,b346268,a14571,Fool For Love,Stefy,2006,For Your Love,Stevie Wonder,1995,0
2468,2468,b121720,a3459,360 Degrees,Push Button Objects,2003,36 Degrees,Placebo,1996,0
24907,24907,b243953,a31325,You Don't Know,Lamont Cranston Blues Band,0,I Don't Know,Lisa Hannigan,2009,0
17645,17645,b13678,a21217,Watch Out,Fleetwood Mac,1969,Watch Out,Ferry Corsten,2006,0
14018,14018,b386320,a17755,Runaway Boy,James Taylor,0,Runaway,Janet Jackson,1995,0
