Artist, Song, Genre, Tempo, Duration
Les Thugs,Paranoia,rock,143.5,201.56036
Onra_ Quetzal,Misunderstood,rock,85.78,91.76771
Chick We And His Orchestra,Undecided,electronic,102.206,194.55955
Burning Airlines,Carnival,rock,130.927,153.15546
Gentleman Reg,Rewind,rock,71.003,239.17669
Maroon 5,Makes Me Wonder,rock,129.977,214.77832
DAVE MATTHEWS BAND,Satellite,indie,124.924,307.93098
Jennifer Lopez,Do It Well,pop,124.994,221.17832
Newton Faulkner,Teardrop,indie,75.067,185.12934
A Flock Of Seagulls,Magic,rock,139.597,313.73016
Sol Invictus,Paths,electronic,145.737,193.27955
Amir Sulaiman,I Love You,electronic,160.093,130.45506
Professor Longhair,Big Chief,blues,95.455,210.80771
The Walkaouts,Drown,electronic,98.758,219.0624
Utopia,Crystal Ball,rock,198.224,122.43546
Clarence Gatemouth Brown,Let The Good Times Roll,hip-hop,122.411,263.60118
Oscar,Departure,alternative,126.013,443.08853
Pinmonkey,Down,alternative,116.592,219.84608
Roger McGuinn,Without Your Love,rock,84.271,239.59465
Lauluyhtye Rajaton,Hiljaisuus,pop,85.482,161.48853
Future Loop Foundation,Karma,pop,110.322,504.58077
Midway Still,Sweat,hip-hop,180.917,179.43465
Think Aout Life,Fireworks,indie,159.537,175.5424
Bill Murk,Higher Ground,alternative,168.792,187.50649
The Walker Brothers,No Regrets,alternative,101.535,345.0771
The Whip,Blackout,rock,129.068,344.76363
Discharge,You,classical,128.119,159.34649
Eony Ark,For You,jazz,125.229,233.03791
Anoraak,Endless Summer,electronic,120.003,228.75383
DJ Dextro,Animal,rock,0.0,440.55465
Michael Gettel,Home,folk,113.647,359.65342
Bass Automator,Get Down,electronic,135.269,266.26567
Beyonc\xc3\xa9,Listen,folk,122.181,219.6371
Freemasons,I Feel Like,electronic,125.998,256.44363
Nancy Sinatra And Lee Hazlewood,Congratulations,rock,89.502,186.67057
Lighthouse Family,Happy,electronic,118.334,275.74812
Billy Vaughn And His Orchestra,My Sweet Lord,folk,126.06,139.17995
Future Loop Foundation,The Journey,folk,111.951,391.94077
The Kidcrash,Jingle Bells,electronic,166.832,181.86404
Moodorama,Solitude,electronic,119.972,349.83138
Maysa,Walk Away,rock,127.725,344.39791
Blood Stain Child,True Blue,electronic,239.993,215.61424
Infectious Organisms,Bright Lights,rock,164.351,284.31628
Rocha and Lewinger,Blood, Tears & Gold,126.984,493.06077
Rennie Pilgrem,Hold On,folk,126.992,438.54322
OneRepulic,Marchin On,rock,122.861,251.66322
Piero Esteriore & Mario Winans,Tell Me,hip-hop,86.872,232.93342
Annie Lennox,Little Bird,rock,122.756,260.93669
Jackie Greene,Hollywood,alternative,114.692,299.59791
Michael Jackson,One More Chance,rock,171.999,226.21995
Joey Dee & The Starliters,Shout,hip-hop,172.255,142.52363
Jo Stafford,Auld Lang Syne,jazz,148.092,158.98077
Patrick Alavi,Power,hip-hop,127.119,208.61342
The Smashing Pumpkins,Believe,folk,108.796,192.91383
The Troggs,Love Is All Around,pop,97.718,178.442
Ridin Thum,Believe Me,indie,145.529,293.35465
McFly,No Worries,electronic,160.207,253.88363
The Bug,Fire,hip-hop,99.995,230.1122
The Sahotas,Be With You,electronic,120.032,279.14404
Ferlin Husky,Jingle Bells,electronic,85.738,133.66812
Jordan Knight,Tonight, Tonight,102.523,249.46893
Marian McPartland ,Conversation,pop,185.806,230.84363
Massive Attack,Risingson,rock,109.329,299.36281
Brian Jonestown Massacre,Somewhere,folk,130.813,211.69587
U2,Sweetest Thing,electronic,141.948,180.58404
Oasis,Morning Glory,rock,136.803,301.60934
Muffler,One,electronic,110.034,299.12771
Jason Michael Carroll,Tears,electronic,91.327,271.64689
Kanye West,Love Lockdown,hip-hop,119.635,270.34077
Laarks,Telephone,electronic,160.336,258.42893
T.Rextasy,Cigarettes & Alcohol,rock,121.855,228.96281
Buddy Holly & The Crickets,Not Fade Away,folk,96.357,137.09016
CJ Peeton,Feel It,electronic,130.964,568.37179
Willy Porter,All Fall Down,rock,95.993,217.7824
The Primary 5,Sunsets,rock,116.018,190.9024
Guy Lomardo,Auld Lang Syne,jazz,61.46,147.93098
Jen Chapin,Open Wide,electronic,98.37,203.25832
Ira Stein,Carousel,rock,134.278,384.28689
Blackone,Mary,jazz,162.775,245.83791
Sacred Reich,Ignorance,rock,210.0,247.92771
Strange Tenants,Hard Times,electronic,137.032,201.27302
Michael Learns To Rock,Eternal Flame,pop,93.961,277.57669
Chris Christian,Reflection,rock,93.76,71.94077
Mariano Yanani,Wild Horses,pop,146.538,205.53098
Joe Diorio,Windows,jazz,65.197,330.4224
Miss Kittin,Grace,rock,127.996,199.05261
Marcel Gagnon,Last Dance,electronic,131.02,293.04118
Jos\xc3\xa9 James,Warrior,hip-hop,135.998,372.58404
Love and Rockets,No Worries,electronic,149.827,434.05016
Dean Geyer,Angel,electronic,91.504,235.33669
Roger Kellaway,Sunrise,folk,146.661,462.62812
The Strokes,The End Has No End,rock,135.982,187.53261
Erma Franklyn,Light My Fire,hip-hop,115.638,164.15302
Credo,Danke,pop,119.959,123.61098
Grandmaster Flash & The Furious Five,Freedom,hip-hop,108.645,306.20689
Keel,Live,blues,142.046,286.30159
Annie Lennox,Pavement Cracks,rock,130.011,507.14077
Mint Juleps,Shout,hip-hop,95.799,306.80771
Darius Rucker,Butterfly,rock,162.035,271.38567
Lunik,Try,folk,91.983,242.41587
Langhorne Slim,Say Yes,pop,122.055,184.73751
Holly Golightly,Do Or Die,electronic,112.394,122.17424
Junior Walker,My Love,classical,116.875,306.05016
Stan Kolev,Play,pop,125.954,390.39955
Bernie Torme,Possession,pop,140.474,369.84118
Joose,Walk Away,rock,89.515,302.39302
Vicki Vomit,Paul,rock,68.327,203.2322
Prefuse 73 feat. Sam Prekop,Last Night,hip-hop,90.066,220.94322
Bleeding Hearts,One Life,pop,130.414,316.70812
Concrete Djz,The Show,rock,142.013,364.09424
Brian Bromerg,Come Together,electronic,156.095,318.06649
Juelz Santana,Good Times,rock,91.687,209.71057
Cher,Alive Again,folk,129.97,259.23873
Die Roten Rosen,White Christmas,pop,172.061,228.62322
Justin,Lately,jazz,213.043,363.98975
Crown City Rockers,Go Away,rock,104.287,219.14077
God Module,Blind,electronic,67.231,280.11057
Teenage Fanclu,Did I Say,alternative,125.646,144.50893
The Rolling Stones,Heaven,electronic,114.571,260.93669
Force & Styles,Pretty Green Eyes,electronic,175.122,409.65179
Deftones,Ghosts,folk,113.988,267.88526
Cleve Douglass,Woman,folk,130.193,148.74077
Foo Fighters,All My Life,classical,167.782,262.73914
Faron Young,Country Girl,rock,128.699,155.61098
Moskwa TV,China,jazz,112.299,226.66404
The Madd Hatter Review,Give It to Me,folk,100.067,279.35302
Farmoy,Move,indie,118.223,344.11057
Crawfish,Why,rock,104.821,201.69098
Rollins Band,Neon,rock,152.086,268.25098
Praga Khan,Sin,rock,134.096,455.02649
El Presidente,Hold On,folk,160.078,217.65179
Brian Lane Green,Breathing,folk,191.267,172.30322
JVOX,Murder,alternative,107.964,269.45261
Otep,Brother,electronic,0.0,423.10485
The Expelled,Dreaming,alternative,180.737,154.72281
Vice Squad,Propaganda,rock,117.184,290.37669
The Aloof,All I Want Is You,electronic,109.954,450.89914
Japancakes,Sometimes,electronic,158.609,338.20689
Betty Everett,By My Side,rock,127.937,130.89914
Celtic Woman,May It Be,folk,64.938,225.88036
Maurice Williams & The Zodiacs,Someday,indie,125.452,109.71383
The London Metropolitan Orchestra,Honeymoon,electronic,141.808,137.63873
Distance & Cyrus,Surrender,electronic,140.028,314.77506
Pigface,Satellite,indie,118.981,321.48853
DJ Mozy,Synergy,electronic,139.896,280.5024
Bruce Mitchell,Joy To The World,pop,137.05,195.49995
Philmore,I Believe,jazz,93.525,346.25261
Transient Waves,Paradise,electronic,152.452,336.5873
Taron-Trekka,Soon,electronic,120.023,524.22485
The Fratellis,The Good Life,rock,114.198,186.90567
Seelenzorn,Vision,electronic,145.031,238.602
SINNER,Revenge,alternative,151.988,216.94649
Cheju,Sometimes,electronic,120.054,267.78077
The Bodysnatchers,Easy Life,alternative,87.041,191.11138
Goldmund,As,rock,129.172,148.47955
Jay Haze,Slow Down,rock,99.988,209.00526
Alex Lloyd,Burn,hip-hop,158.43,209.76281
Black Uhuru,Youth,indie,165.892,232.04526
Dramarama,Try,folk,123.893,202.23955
Clint Mansell,Rendezvous,electronic,108.873,100.49261
Nichols,Encore,electronic,87.693,223.92118
Kelly Llorenna,Dress You Up,electronic,100.055,220.78649
Adrian Gurvitz,First Love,pop,180.173,331.28444
Giovanni,Requiem,alternative,89.948,192.28689
Byron Cage with J Moss,We Love You,alternative,115.653,347.66322
Sylver,Where Did I Go Wrong,pop,139.99,181.68118
Vanessa Amorosi,Who Am I?,jazz,133.973,323.7873
Jenna Mammina,Dirty Work,pop,135.187,232.56771
The Walker Brothers,Orpheus,rock,87.021,203.91138
4ft Fingers,Letting Go,folk,97.568,147.53914
FM Attack,Dreamer,rock,127.976,376.47628
Stevie Wonder,Go Home,pop,119.204,319.03302
Puressence,All I Want,electronic,111.183,189.36118
Rosie Thomas,Silent Night,alternative,100.198,254.30159
The Kinks,Fancy,electronic,121.242,150.36036
Sathima Bea Benjamin,Solitude,electronic,36.453,213.99465
Ray Conniff,Superstar,hip-hop,119.217,219.84608
The Cliks,Whenever, Wherever,137.921,228.85832
Saru,Waking Up,rock,102.002,260.17914
Afternoons in Stereo,Luna,pop,146.671,279.09179
Buckshot LeFonque,Phoenix,alternative,69.375,366.05342
Warren Zevon,Renegade,rock,143.728,298.86649
Eskimo Joe,Setting Sun,rock,88.498,232.04526
Warren Zevon,Renegade,rock,154.519,290.76853
Inspecter 7,Regret,alternative,183.979,166.13832
Hepcat,Beautiful,hip-hop,98.167,234.57914
Mista Bourne,Say My Name, Elizabeth,86.986,226.19383
Grinderswitch,Open Road,pop,151.311,249.12934
Salim Nourallah,Sunday Morning,rock,118.041,251.45424
Acid Mothers Temple SWR,Untitled,alternative,75.549,143.15057
Demi Lovato,La La Land,rock,85.048,196.51873
Binary Star,Reality Check,electronic,89.955,241.34485
India.Arie,I Am Not My Hair,folk,133.309,208.37832
Mary J. Blige,I Am,pop,126.335,183.11791
Ian McCulloch,Seasons,hip-hop,93.998,250.06975
The Black Velvet Band,Star,rock,92.507,258.45506
Bo Welch,Hideaway,electronic,134.41,153.10322
Starpoint,Say You Will,rock,98.06,270.00118
Rick Ross,Billionaire,pop,101.51,252.47302
The Ataris,Lately,jazz,139.738,103.75791
The Mojos,Early in the Morning,indie,114.856,326.73914
Irie R\xc3\xa9volt\xc3\xa9s,Ready,hip-hop,110.084,236.56444
Dave Barnes,Home,folk,93.644,211.27791
Johnny & the Hurricanes,Crossfire,electronic,224.23,145.34485
John Legend,Stereo,rock,98.139,249.96526
Aerosmith,Walk This Way,hip-hop,110.491,252.62975
Eva Dahlgren,Little Darling,rock,131.053,220.94322
Kenny Werner,The Cat,hip-hop,121.486,472.55465
