Artist, Song, Genre, Tempo, Duration
Lumen,Never Forget,pop,63.497,541.20444
Deerhoof,Flower,pop,103.903,110.91546
Barara Carr,Talk to Me,indie,158.894,264.98567
Marco Beltrami,Aftermath,electronic,115.873,106.47465
Ultra Vivid Scene,Extraordinary,electronic,138.553,233.11628
No Fun At All,Vision,electronic,176.565,110.91546
The USA Is a Monster,Love,folk,86.755,185.05098
Pat Travers,Need Love,rock,124.832,303.98649
Max Duley,Untitled,alternative,134.895,299.54567
Zita Swoon,Orpheus,rock,166.634,253.46567
Teresa Brewer,Ricochet,rock,131.171,159.86893
The Beta Band,Eclipse,indie,126.031,394.52689
Elek Bacsik,So What,pop,95.6,234.1873
A.R. Kane,Pop,pop,123.888,220.49914
INSITE,Go Away,rock,120.041,254.71955
Minny Pops,Body Language,hip-hop,152.178,237.50485
Sia,Where I Belong,pop,127.949,273.21424
Animal Collective,Bees,electronic,96.759,338.25914
X-Static,Free,alternative,127.895,393.09016
Sleepy Brown,Sunday Morning,rock,172.022,236.38159
Tracey Ullman,Breakaway,hip-hop,132.838,155.68934
Fair Warning,Hang On,alternative,105.098,244.32281
Ours,Mercy,hip-hop,160.73,401.3971
Sever Your Ties,Here I Am,pop,145.072,160.91383
The Frank And Walters,After All,electronic,136.012,189.6224
Alin Myers,Somewhere,folk,84.64,426.86649
Mr.Cheeks,Here We Come,pop,182.348,257.88036
Tesla Boy,Fire,hip-hop,125.997,269.53098
True Vie,Without Love,pop,153.995,256.44363
Wheat,Breathe,folk,166.842,195.86567
Astrud Gilerto,The Girl From Ipanema,electronic,126.458,197.92934
Fiona,For You I Will,hip-hop,147.061,220.21179
Tahiti 80,King Kong,electronic,122.654,192.28689
Chip E.,Like This,pop,120.536,347.84608
Kristy Thirsk,Conspiracy,indie,117.986,225.51465
Dirtall,Over and Over,hip-hop,107.823,286.53669
Skaurian Collective,Human,alternative,129.731,202.762
Chi-AD,Monsters,rock,144.008,433.00526
Trance Control,Emotions,pop,140.024,360.46322
Coleman Hawkins,The Man I Love,folk,102.797,310.96118
Pulic Image Ltd,Attack,electronic,151.509,175.22893
Elisa,Broken,rock,108.842,258.76853
Tommy James And The Shondells,Mony Mony,electronic,130.535,168.12363
Red Caf\xc3\xa9,Out of Control,jazz,96.942,158.6673
Moneyshot,Innocent,classical,189.967,242.28526
Everyday Sunday,Figure It Out,folk,133.917,224.02567
Roland Kenzo,Everlasting Love,rock,142.945,332.042
Killer Mike feat. Shawty Lo,2 Sides,jazz,139.91,209.18812
Chocolate Puma,Boom!,electronic,126.965,398.8371
The Priestess & The Fool,Interlude,rock,68.683,248.24118
Chuck Billy_ Scott Ian_ Jon Donais_ Chris Wyse_ John Tempesta,Silent Night,alternative,92.513,251.01016
King Co Steelie,Home,folk,124.357,263.02649
Volcano,Fresh,electronic,144.018,467.59138
Underworld,Two Months Off,electronic,127.576,612.0224
Miike Snow,Black & Blue,indie,135.018,220.83873
Poverty Stinks,Paranoid,hip-hop,125.699,159.84281
Fat & Frantic,Take Me Home,pop,175.274,208.43057
Sean Watkins,Take It Away,folk,117.923,163.05587
DBN & Tommy Trash feat. Michael Feiner,Stars,alternative,84.01,366.31465
Sander van Doorn vs Roie Williams,Close My Eyes,rock,130.008,378.74893
Royal Flush,Clap Ya Hands,hip-hop,102.364,215.64036
Quique Neira,Set Me Free,hip-hop,120.001,280.21506
Nocturnal Rites,Glorious,electronic,229.974,203.54567
Deepforces,Paranoid,hip-hop,143.947,353.38404
Faron Young,Country Girl,rock,149.75,136.38485
Alkaline Trio,Private Eye,rock,165.688,210.52036
John Denver,Eclipse,indie,129.65,222.01424
Jay Lumen,In Love,alternative,125.994,441.73016
Chuck Loe,Sway,pop,146.705,299.80689
Goldfinger,Anything,pop,142.469,165.53751
Madeleine Peyroux,Smile,jazz,86.972,238.10567
Mark Medlock,Real Love,electronic,126.982,218.64444
Boy Vinton,Blue Velvet,electronic,83.293,168.9073
ATB,9 PM (Till I Come),electronic,136.886,452.51873
Felix Da Housecat,Radio,alternative,132.949,364.93016
