Artist, Song, Genre, Tempo, Duration
Keyshia Cole ,Last Night,hip-hop,120.988,255.81669
Otis Grand,Insomnia,pop,103.113,219.21914
Bayface,If,pop,101.769,180.6624
Andr\xc3\xa9 Herman D\xc3\xcne,Birthday Song,hip-hop,122.021,219.68934
The Flying Burrito Brothers,Sin City,jazz,248.091,272.87465
Steve Rushton,Emergency,electronic,171.935,179.35628
Mike Candys & Jack Holiday,Insomnia,pop,86.66,279.66649
Alphawezen,Rain,electronic,129.962,391.83628
Ruth Brown,So Long,blues,77.949,159.97342
Secret Garden,You Raise Me Up,pop,64.945,301.60934
Nat Johnson And The Figureheads,Envy,rock,135.838,138.31791
Threshold,Disappear,rock,114.028,259.23873
I Dream ,Dreaming,alternative,115.739,196.5971
Jacynthe,Someday,indie,97.007,202.52689
Black Uhuru,Statement,rock,168.878,279.45751
Kinnie Starr,Alright,jazz,99.999,254.87628
Weezer,Slave,rock,123.854,173.29587
The Troggs,Lover, Please Stay (live),109.627,144.45669
Pete Philly & Perquisite,Paranoid,hip-hop,121.998,316.52526
Maze Featuring Frankie Beverly,Happiness,rock,115.469,405.08036
Ian Brown,Whispers,electronic,109.145,238.05342
Bros,Silent Night,alternative,133.003,229.79873
Deviants of Reality,Let It Go,electronic,82.444,298.68363
Johnny Lee,This Time,rock,117.639,164.93669
London Theatre Orchestra,Everyday,jazz,115.076,278.54322
The Gun Clu,For the Love of Ivy,pop,114.433,334.88934
Breakage,Untitled,alternative,105.12,366.73261
Jason van Wyk & Dreamquest,Imagine,folk,136.018,241.76281
Coko,Just Like You,hip-hop,165.099,263.10485
Brutal Truth,Daydreamer,hip-hop,161.054,108.35546
LCM!,Atmosphere,electronic,173.334,374.83057
Lita Ford,Kiss Me Deadly,rock,156.038,241.78893
Andre Matos,Rio,rock,180.033,360.22812
Eddie C. Campell,My Girl,pop,129.735,186.43546
The Pains Of Being Pure At Heart,Higher Than the Stars,alternative,159.833,227.89179
Yuppie Flu,Make It Happen,pop,150.237,232.202
Lynch Mo,All I Want,electronic,122.837,315.76771
Burning Borders,Lose Control,indie,91.996,180.4273
Bayside,Masterpiece,pop,138.572,268.06812
Enemy You,For You,jazz,177.944,100.20526
Steve Bug,Painkiller,rock,125.967,397.53098
Sam Fox,Say What You Want,rock,105.109,268.042
Amos Lee,Night Train,hip-hop,129.948,210.93832
Joey DeFrancesco ,Give It Up,hip-hop,94.512,351.50322
Swell,Down,alternative,124.669,191.4771
Tyson,Sacred,electronic,197.847,372.27057
MNEMIC,Zero Gravity,rock,90.036,471.95383
Balance and Composure,Kaleidoscope,electronic,155.005,216.94649
Shirley Horn ,Conversation,pop,53.183,148.68853
Tranzas,Me voy,pop,143.816,242.9122
Willie Boo,Black Coffee,electronic,100.037,164.62322
keller williams,Dogs,folk,143.965,318.79791
Montefiori Cocktail,Sunny,rock,124.004,273.03138
Shocking Pinks,Emily,rock,153.525,131.57832
D:Ream,Take Me Away,alternative,128.082,215.06567
Neville Brothers,Wake Up,alternative,182.079,202.68363
Sandy Lam,Morning,pop,105.679,230.76526
Oasis,Half The World Away,folk,76.964,261.69424
Peter Kater,Reunion,electronic,120.461,368.3522
Clan Of Xymox,Louise,electronic,126.488,317.77914
Studio 99 + Guests,In the Mood,rock,92.439,172.35546
David Archuleta,Angels,rock,151.844,248.94649
Toddla T featuring Trigganom,Girls,rock,99.967,204.85179
Ralph McTell,Louise,electronic,105.994,227.7873
The Black Crowes,Sting Me,rock,129.53,279.7971
Poisonlack,Alone,rock,125.082,283.76771
Daniel Merriweather,Red,electronic,194.38,235.04934
suseven,Hold On,folk,165.087,207.09832
Dolly Parton,I Believe,jazz,97.465,136.77669
Two Cow Garage,Found,electronic,132.151,190.22322
Wayne Watson,Grace,rock,131.965,312.99873
ROBERT MILES Feat. KATHY SLEDGE,FREEDOM,electronic,123.952,590.54975
Beam,Live It Up,pop,117.979,238.49751
Enslavement Of Beauty,Dreams,alternative,159.895,264.80281
DaysLeft,Red,electronic,156.061,231.54893
Fiona,I Want You,jazz,143.184,112.29995
Mary Louise Wilson,So What,pop,107.262,193.72363
JB Lenoir,What Have I Done,pop,102.072,186.40934
Something Happens,Give It Away,alternative,147.066,203.85914
Jerrys Kids,Right Now,electronic,150.188,229.17179
The Payoff,Gentlemen,rock,78.985,196.25751
Twisted Sister,White Christmas,pop,133.832,236.77342
Burkhard Dallwitz,Reunion,electronic,221.042,146.52036
Siriusmo,The Door,rock,127.004,128.44363
Peter White,White Christmas,pop,69.516,155.6371
Dave Berry,The Crying Game,rock,93.246,159.08526
Vex Red,Itch,rock,90.053,226.58567
Beres Hammond,All I Need,pop,128.007,272.16934
Omarion,O, Evelyn...,120.029,280.34567
Marc Anthony,I Need You,rock,89.964,251.27138
William Coulter,Amazing Grace,folk,95.349,188.65587
Alice In Chains,Again,pop,122.907,241.8673
17 Hippies,El Dorado,rock,99.044,223.60771
Patrice Pike,Angels,rock,151.873,217.75628
Sofa Surfers,White Noise,electronic,160.082,330.9971
Her Alpert And The Tijuana Brass,Winter Wonderland,electronic,157.628,186.30485
40 Cal,Overdose,hip-hop,163.581,200.75057
Grant Nelson,Brave New World,rock,84.01,444.47302
Pulic Enemy ,He Got Game,hip-hop,97.449,285.6224
Toasters,Sitting on Top of the World,rock,151.296,279.09179
Fisher,You,classical,154.855,201.82159
Boy Valentino,Tell Me,hip-hop,95.006,260.0224
Rise and Fall of a Decade,Escape,pop,100.179,170.34404
Ivoryline,Parade,pop,85.003,217.62567
June Hutton,Nothing,pop,70.889,183.17016
