atable_id,btable_id,sim_title,sim_artist,dif_year
5,668803,1.0000,0.0357,-1
5,810053,1.0000,0.0312,-1
5,222510,1.0000,0.0370,-1
5,582185,1.0000,0.0333,-1
13,356522,1.0000,1.0000,0.0
13,355910,1.0000,1.0000,0.0
13,531393,1.0000,1.0000,0.0
13,695659,1.0000,1.0000,0.0
14,782014,1.0000,0.1739,0.0
14,96156,1.0000,1.0000,0.0
17,619161,0.7368,0.0938,-1
17,636097,0.7368,0.0571,10.0
17,538959,1.0000,1.0000,0.0
43,35457,1.0000,0.0217,4.0
50,284701,1.0000,0.1471,-1
50,59002,1.0000,0.0244,-1
54,348823,1.0000,1.0000,0.0
60,761398,0.7619,1.0000,-1
60,564859,0.7619,0.0323,3.0
60,466819,0.7619,1.0000,0.0
61,180254,1.0000,1.0000,1.0
61,47163,1.0000,1.0000,1.0
61,345592,1.0000,0.0952,-1
64,108292,1.0000,0.0278,-1
68,475988,0.7143,0.2500,-1
68,550204,0.7143,0.2500,-1
68,769617,0.7143,0.2500,-1
68,81865,0.7143,0.2500,-1
69,599602,1.0000,1.0000,0.0
69,675473,1.0000,1.0000,0.0
69,214650,1.0000,1.0000,0.0
70,467344,1.0000,1.0000,0.0
70,445590,1.0000,1.0000,0.0
70,611556,1.0000,1.0000,0.0
70,5651,1.0000,1.0000,0.0
71,803512,1.0000,0.4211,-1
71,578286,1.0000,0.0333,-1
71,542076,1.0000,0.0615,0.0
71,260438,1.0000,0.0172,20.0
71,543274,1.0000,0.0345,-1
71,600724,1.0000,0.0351,-1
71,369141,1.0000,0.0351,32.0
71,289921,1.0000,0.0635,0.0
87,44228,1.0000,0.1081,-1
87,474335,1.0000,0.1026,1.0
87,509965,1.0000,0.1026,1.0
142,31558,1.0000,0.0339,10.0
142,191516,1.0000,0.0339,10.0
142,821109,1.0000,0.0339,10.0
157,721573,1.0000,0.0952,-1
157,583603,0.7368,0.1212,38.0
157,190472,0.7368,0.1212,38.0
157,119262,1.0000,0.1081,3.0
157,335029,0.7368,0.1000,-1
160,327133,1.0000,0.0702,36.0
160,388760,1.0000,0.1471,26.0
160,445147,1.0000,0.0741,-1
160,188742,1.0000,0.0294,-1
160,556053,1.0000,0.0952,-1
161,527647,1.0000,1.0000,0.0
174,612420,1.0000,0.0938,25.0
174,575931,1.0000,0.0938,25.0
174,354749,1.0000,0.0938,25.0
174,744956,1.0000,0.0938,25.0
174,43579,1.0000,0.1562,5.0
174,524911,1.0000,0.0938,25.0
174,367271,1.0000,0.1333,6.0
174,19082,1.0000,0.0938,25.0
174,226767,1.0000,0.1786,37.0
